	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129	sp130	sp131	sp132	sp133	sp134	sp135	sp136	sp137	sp138	sp139	sp140	sp141	sp142	sp143	sp144	sp145	sp146	sp147	sp148	sp149	sp150
sp1	-0.5	-0.134791800350163	-0.0515358293311205	-0.245070849588432	-0.0878020172811276	-0.303255055821508	-0.179883552096658	-0.0727753258668934	-0.25767426426488	-0.29290022819553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.0666777499351441	-0.5	-0.221558053851924	-0.414501483997677	0	0	-0.166704406832824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.356075846412666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	-0.427840649863926	0.219392127826524	-0.5	-0.421729243370069	-0.410545554764573	-0.304534085032078	-0.0379861277721776	-0.0675444913535146	0.281306781102945	-0.21633005760374	0	0	0	-0.400209012360314	0	0	0	0	-0.396236610222976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.372476592519409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.251769490950934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	-0.323746319366314	-0.150395668433988	0	-0.5	-0.304459714823994	-0.268352528164231	0.396360900301703	-0.103093474100544	-0.172955663515362	0	0	0	0.319601024841866	-0.166166279155714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49935426445896	0	0	0	0	0	0	0	0	0	-0.348379426605201	0	0	-0.458724367460411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11110869147283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.096019225981622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	-0.216815316785495	-0.272013962092628	0.0436072126324312	-0.5	-0.098719029562152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	-0.332812149686324	0	-0.451468619843291	-0.229841469532158	0	-0.5	-0.337143996149302	0	-0.388149666148862	-0.0445090562935639	0	-0.376329955036854	-0.38229939611794	0	-0.0585348064382141	-0.28173779148048	-0.250766126661303	0	0	-0.0691742622035672	-0.0300088606865401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211397665377613	0	0	-0.142488598732683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	-0.446899660368373	0	-0.414516538875238	-0.168998158515978	0	-0.379703671457854	-0.5	0	0	-0.145917259059886	-0.375663141992034	-0.355315278882971	-0.033791750502924	0	0	-0.256148039978652	-0.022424692690142	-0.321898150289985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.352274225279973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.42836413895634	0	-0.388877828957681	-0.0439796177987033	0	-0.283663524555371	-0.203003923007986	-0.5	-0.0427809204220283	-0.237102700899751	0	-0.321194831876592	-0.140728554990927	0	-0.117430468352931	0	0	0	0	0	0	-0.0937268579833093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0389445326652331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.199259077074297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.123939717998339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0.180906479357025	0	-0.04891452920201	-0.423735949015971	0	-0.0343600572008872	0	0	-0.5	0	-0.496241400686018	0.0410523846718599	0	0	0	0	0	0	0	0	0	0	0	-0.402884183766306	0	0	0	0	0	0	0	0	0	0	0.00583880172872217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33842493197188	0	0	0	0	0	0	0	0	0	-0.196743895886929	0	0	0	0	0	0	0	0	0	0	0	0	0.179738850629299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	-0.329056145800033	0	0	0	0	0	0.117404019902868	0	0	-0.5	-0.0715263251551753	0	0	0	0	0	-0.423948787590503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.186083284388264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	0	0	0	0	0	-0.372350618992383	-0.379951837301464	-0.435008709277264	0	-0.479651501275992	-0.5	-0.481192555064226	-0.210888811493919	0	0	0	0	-0.0411722739901929	0	0	0	0	-0.0619306176961446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.450661283509862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18815629165767	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	-0.201953624491757	-0.340624306360644	-0.20314801610104	-0.049520983506646	0	0	-0.5	0	-0.104664732636902	0	0	0	0	-0.0982896494321781	0	0	0.0081563165634172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.375681272384471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0959234369468596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	0	-0.0635316522315727	-0.0446219033242669	0	0	-0.321118994049898	0	-0.5	-0.205058041105063	-0.396499829780017	-0.487605883546125	-0.103454319107321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0787791028440045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101514324742246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	-0.13572853205415	-0.290515113150389	0	0	0	0	0	0	-0.47886699923483	0	0	-0.5	-0.2604591041612	-0.133088975224504	-0.200341464250125	-0.177212169467954	0	0	-0.0362644808773138	0	0	0.0479304884215863	0	-0.490020281930547	-0.180120637518719	-0.476733329620152	-0.0805279768754449	-0.045078533407764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
