	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129	sp130	sp131	sp132	sp133	sp134	sp135	sp136	sp137	sp138	sp139	sp140	sp141	sp142	sp143	sp144	sp145	sp146	sp147	sp148	sp149	sp150
sp1	-0.5	0.384105058968705	-0.467015752657768	-0.297524961950535	-0.0619586896418151	0	0	-0.170426607063296	0.447811341276697	0	0	0	0	0	0	0	0	0	0	0	0	-0.205957518904929	0	0	0	0	0	0	0	0	0	-0.450964328184812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.201710500727722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0852105064221681	0	0	0	0	0	0	0	0	0	-0.316819754167928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.349422553266138	-0.5	-0.100618756789181	-0.406770633534009	-0.44584614093744	0.00552144978045486	-0.443631741007189	0	0	0	0	-0.477017955547681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	-0.10415964634333	-0.238920751839222	-0.5	-0.230880416850215	-0.321869289995523	0.0912194530674955	0.37277293518191	0.157534488744983	-0.216174051619819	-0.438093742079432	0	-0.358445275505409	0.387901470969177	-0.445629190073912	-0.135891691383696	0	-0.489640500837006	0	-0.406824563366626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.486079636908602	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198168272307734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	-0.332574115498366	-0.15092611611309	-0.363975473132818	-0.5	0	0	0	-0.0965883686412917	-0.100668640222556	-0.0160578322008019	-0.195272531340311	0	0	-0.188019697540419	0	0	-0.0600847916641366	-0.132090579092198	0	0	-0.485174494219646	0	0	0.175214500031434	-0.245984716150709	-0.304349880677976	0	0	0	-0.147692735206541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0785590354882274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	-0.350877536991199	0	-0.0649379703195835	-0.160897165605393	-0.5	-0.0224254094449431	-0.0587169425990735	-0.258382017896913	0	-0.246912430737044	0	0.0368053453074885	0	0	0.468601367128075	0	0	0	0	-0.339852587746712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	-0.148462475963712	0.396463036754937	-0.414333151041872	0.33448288754934	-0.5	-0.0942161731101712	0	0	0	0	0	0	-0.367131790965917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0724229388461611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.263533424756117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.476621305163661	0	0	0	0	0	0	0	0
sp7	-0.295315562191182	-0.216685996152079	-0.391726231978245	0	-0.0364991369930259	-0.17426634460398	-0.5	-0.344535301225965	0	-0.421780260549588	0	0	-0.180594710925166	0	-0.287562851346352	0.468493501991429	0	0	0	0	0	0	0	0	-0.232857033462508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.262596815052948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.231929185699709	0	0	-0.257410748669596	-0.0815836266641598	0	-0.177591504001252	-0.5	0.356428827838143	0	-0.124530771678824	0	-0.398896624191559	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0355218964776187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0.0524352244777605	0	-0.325810021279496	-0.273773838432499	0	0	0	-0.478174408045963	-0.5	0	-0.425450695996296	0	-0.181346681704528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	-0.0729562495864253	0	0	-0.116776040020839	-0.467933699029817	0	-0.5	-0.447944110062982	-0.214286136470004	-0.286097361465038	-0.451495654898428	-0.323080730054881	-0.426303004415317	-0.374074974701193	0	-0.00563011642056052	0	0	0	0	0	0	-0.2040069708871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0319326547866105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.337204392025231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
