#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	127465	92469	56133	43511	105275	116197	125505	174925	188255	121044	130656	154426	69948	144866	163093	182640	185670	126220	66950	51937	134902	24725	178607	37902	163445	146513	95671	28204	154850	119849	133464	161066	29313	162172	60266	176280	27461	158816	69523	105684	135356	79576	136014	150247	79124	4053	50715	71314	163380	80060
sp2	86105	179663	179277	58775	76502	0	184594	135762	75278	118835	188954	11	37641	125914	117173	0	61242	89476	152803	176019	126085	169386	117828	77413	13405	50879	45769	157126	154116	29	104588	134833	33921	127956	189614	114393	157541	142778	14843	87673	164360	79132	817	51287	106852	68642	97183	113514	24207	170461
sp3	78008	73269	167444	99373	163826	142727	22313	125554	8567	8922	97432	20963	7600	137630	197744	23599	34217	2598	95232	113740	141485	152832	97411	170787	165982	187539	73611	24660	183637	70021	95576	12230	123271	98565	116887	186602	63196	158853	100400	26393	66942	21125	21458	135219	124252	176715	91044	30878	115607	82512
sp4	0	44199	0	11305	55415	81542	22	0	191682	10270	0	51729	97415	3077	330	162683	107539	158672	43270	39	0	0	20243	41166	0	19353	0	75956	36637	95369	282	91238	0	35973	23541	31061	25	37282	0	150100	28057	161452	58199	40	19388	0	0	77777	0	49298
sp5	71557	2202	136766	29369	173198	138955	196042	146138	33629	14438	110230	161399	34501	199917	76155	157604	15096	177083	79016	91439	18414	56138	106136	86795	195852	198156	37315	196169	88399	115513	129494	194068	30368	3969	185542	66611	105130	84083	90415	134174	11875	162691	99595	133756	103867	140616	91369	25951	61626	117334
sp6	151170	99292	66646	188893	18144	41116	136781	110244	179130	79815	161590	109574	161177	64611	83514	139981	132945	22264	80149	143155	146844	37636	137129	58856	66440	7243	2582	108732	8000	173359	54526	55048	173059	74136	4257	30069	50724	64081	132740	34308	111169	194916	21641	123025	176878	69888	135431	107719	106972	164613
sp7	4478	153606	335	126651	159389	35	118076	147675	27929	12104	1	174620	170200	18340	76915	125057	101868	44799	176718	0	1	161045	121292	156994	2540	79188	120166	116710	61575	111195	45807	81886	18574	97974	87369	63606	0	25114	13115	181179	2633	55239	164393	176375	31273	182251	35920	118350	40650	36938
sp8	85958	65279	40737	6877	163746	123717	159171	10214	117413	14724	168125	84071	71972	40059	111836	164424	18564	145876	45329	36053	127654	72614	79202	89891	63243	160727	169266	58375	47584	157320	7154	54021	47317	10398	69645	51623	90400	20683	139369	91490	151076	12778	73159	142774	159107	133316	158530	47071	7480	53099
sp9	169788	14504	51851	132385	74250	158710	171537	21188	90709	197628	196726	40205	17011	95091	9609	177087	23600	138692	43701	135783	145227	25805	41953	106494	2872	46424	115087	95996	165929	114909	156529	40487	78809	44034	18935	11361	154048	91854	8145	16736	103550	190817	129361	51422	12223	19894	78211	47400	2604	30523
sp10	194333	62817	76799	185803	124679	106926	85735	165275	135001	281400	209124	121655	30492	194025	155631	133465	51026	169067	192701	128067	253135	50792	215261	233433	31498	34435	191098	170034	205440	81880	190894	121738	75341	102910	66657	202320	254107	42766	190060	75222	198350	228839	164503	149507	26714	113669	86886	154611	149807	39793
