	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50
sp1	-0.5	0	0	-0.409540239509584	0	0	0	0	-0.371657868434128	-0.101464085317936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	0	0	0	-0.0791565060857404	0	0	0	0	-0.217820065109206	0	-0.0976802254320774	0	0	-0.209884033834133	0	0.280427111206753	0	0	0	0	0	0	0	0	-0.170237912543621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	-0.445954944362813	-0.5	0.0356365385966818	0	0	0	0	0	0	0	0	0	-0.129071645471337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0.435907348437924	-0.5	0	-0.219833934927143	0.410671878578297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.280102024429957	0
sp5	0	-0.483835125593448	0	0	-0.5	0	0	0	0	0	0	0	-0.137826194780692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	-0.343887273629496	0	0	-0.0151866840849747	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	-0.0237947281076363	0	0	0	0	0	-0.5	0	0.410890384603005	0	-0.234451952590561	0	0	0	0	0	-0.398699445027264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17122563313877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	-0.325684634939609	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0	0	0	0	0	0	-0.103990913276067	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	0	0	-0.5	0	-0.156809714369166	0	0	0	-0.399959149564498	0	0	0	-0.250023300704646	0	0	-0.40214887843827	0	-0.335579602370758	0	0	-0.0663563083984144	0	0	0	0	0	-0.414391206783806	-0.0248431381722842	0	0	-0.0552234242858994	0	0	0	0	-0.172940500140891	0	0	0	0	0	0	0
sp11	0	0	0	0	0	0	0	0	0	0	-0.5	-0.262664850764403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.398110133117989	0	0	0	0	0	0	0	0
sp12	0	0	-0.276992114171074	0	0	0	0	0	0	0	0	-0.5	0.00874318857276114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.291427284506655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0	0	0	0	0	0	0	-0.153239964986206	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp15	0	0	0	0	0	0	0	0	0	-0.313840961842667	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp16	-0.0228000254103751	0	0	0	0	0	-0.111616477500135	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp17	0	0	0	0	0	0	0	0	0	0.237252296136532	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	0	0	0	-0.143437209218529	0	0	0	0	-0.5	0	0	0.402248226334658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.204850151363299	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp20	0	0	0	0	0	0	0	0	0	-0.145168628751372	0	0	0	0	0	0	0	0	-0.121389073455103	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.304786763625382	0	0	-0.5	0	0	0	0.441474692753088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp22	0	0	0	0	0.0164782502764696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.431747636047816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0482426925872802	-0.23898351753446	0	0.325988017445067	0	-0.5	0	0.444807198625142	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.321644617690961	0	0	0	0	0	0	0	0	0	0	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.0709555556239211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp25	0	0	0	0	0	0	0	0	0	-0.160393602459428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp26	0	0	0	0	0	0	0	0	0	-0.443723151632852	0	0	0	0	0	0	0	0	0	0	-0.354126117243834	0	0	0	0.181396205538167	-0.5	0	0.155145073520273	-0.213849294034319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.196430232950014	0	-0.0902161075203563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp28	0	0	0	0	0	0	-0.0370359478063532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.135787808037081	0	-0.5	0	0	0	-0.00353888120462885	0	-0.330167031807979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.275330123580392	0	-0.262026362979927	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp30	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.244661779451373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.437851128087896	-0.5	-0.187336502044259	0	0	0	0	0	0	0	0	0	0	0	0	-0.307349198476602	0	0	0	0	0	0
sp31	0	0	0	0	0	0	0	0	0	-0.0140745596756041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.304802459822125	-0.233095986498224	0	0	0	0	0	0	0	0	0	0	-0.23152446952502	0	0	0	0	0	0
sp32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.490033917733717	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp33	0	0	0	0	0	0	0	0	0	-0.26968316057733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0315855994809815	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.250267862169151	0	0	0	0	0	0	0	0	-0.0166688639807561	0	0	0	0	0	0	-0.5	-0.475266604131325	-0.15617946466659	-0.0192014368037041	0	0	0	0	0	0	0	0	0	0	0	0	0
sp35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.359382659704224	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0789663689762494	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.485481181922816	0	0	0	-0.209581352134896	0	0	0	0	0	0	0	0
sp37	0	0	0	0	0	0	0	0	0	-0.430500759523991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
sp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.123947241304459	0	0	0	0	0	0	0	0	0	0	0	0	-0.413949474769568	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
sp39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0220056016061874	0	0	0	0	0	0	0	0	0	0	0	0	-0.436420245810535	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
sp40	0	0	-0.326449034319399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0725989790406148	0	-0.198222124027233	0	0	0	-0.5	0	0	0	0	0	0	-0.48018433460657	0	0	0
sp41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0162311734764138	0	0	0	0	-0.5	0	0	0	0	0	0	-0.366547911119745	0	0
sp42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.496797566207235	-0.5	0	0	0	0	0	0	0	0
sp43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.265996986792376	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
sp44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0.191143820661681	0
sp45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198660333966352	0	0	0	0	-0.5	0	-0.463774358113571	0	0	0
sp46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.419417880263603	0	0	0	0	0	-0.5	0.446517469991518	0	0	0
