	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25
sp1	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	-0.398918406576016	-0.5	0	0	0	0	-0.252287499436026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0.161606076033344	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0657278447039844
sp5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00871168640182353	0	0	0	0	0	0
sp6	0	0	0	0	-0.388633149101161	-0.5	0	0	0	-0.443682143758929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0	0	0	0	0	-0.5	0	0	0	-0.329590619506103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0	0	0	0	0	0.103284148921652	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	-0.310714489856435	0	-0.452710334149331	-0.421945096109828	-0.5	0	0	0	0	0	0	0	-0.420226628337405	0	0	0	0	0	0	0
sp11	0	0	0	0	0	0	0	0	-0.261446154683158	0	-0.5	0	-0.150744118018041	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.0665497015793342	-0.353356801394089	0	0
sp13	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0	0	0	0	0	0	0	-0.30038276043098	-0.5	0	0	0	0	0	0.353673360220632	0	0	0	0	0
sp15	0	0	0	0	0	0	0	0	0	0	0	-0.0105922313286061	0	-0.271193245016898	-0.5	0	0	0	0	0	0	0	0	0	0
sp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
sp17	0	0	0	0	-0.357744431683018	-0.0384144636775996	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.175575539331497	-0.38164807310245	-0.5	0	0	0	0	0	0	0
sp19	0	0	0	0	-0.0767836745904363	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0
sp20	0	0	0	0	0	0	0	0	0	0	0	0.0405307407253934	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
sp22	0	0	0	0	0	0	0	0	0	0	0	-0.279699507296716	0	0	0	0	0	0	0	0	0	-0.5	0	0	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.188259062794545	0	0	-0.5	0	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.24881709550478
sp25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
