	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25
sp1	-0.5	-0.449259691556562	0	0	0	0	-0.42102284792843	-0.307314790055282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	0	-0.5	0	0	0	0	-0.225309341731435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	-0.306468499140309	0	0	0	0	-0.5	0	0.0187635022977274	0	-0.0332900287776906	0	0	0	0	0	0	0	0	0	0	-0.405658053134943	0	0	0	0
sp7	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	0	0	0	0	-0.5	0	-0.339967416359391	0	0	0	0	0	0	0.431124821177484	0	0	0	0	0	0	0	0
sp9	0	0	0	-0.299193326618264	0	0	0	-0.26877619893535	-0.5	0	0	0	0	0	0	0	0	0	-0.220898970280634	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	0	0	0	0	-0.269498719904851	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0.226982384804548	0	0	-0.212547425292898	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
sp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
sp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.378455499140997	0	0	0	0	0	0	0
sp17	0	0	0	0	0	-0.016817339673778	0	0	0	0	0	0	0	0	0	-0.385739622308875	-0.5	0	0	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	0	0	0.348313837778457	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
sp19	0	0	0	0	0	0	0	0	-0.436982440244274	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.320332011829908	0	0
sp20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.244879824014974
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0334786338921869	-0.378706501620021	-0.5	0	0	0	0
sp22	0	0.451272649744346	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.288478222662983	0	0	0	0	0	-0.5	0	-0.388485118571427	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.391787445189802	-0.5	0	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
sp25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.23555872048886	0	0	-0.5
