	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50
sp1	-0.5	0	0	0	0	0	0	0	0	-0.112411378015531	0	0	0	0	0	0	0	0	0	0	0	0	-0.316126615837992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.116798405867219	-0.5	0	0	0	0	0	0	-0.0320259410584252	0	0	0	0	0	0	0	0	0	0	-0.275514698244226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	-0.0581753619961627	0	-0.5	-0.0801212380249938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0559036307620374	0	0	0	0
sp4	0	0	0	-0.5	0	-0.217811908632815	0	-0.385415240878407	-0.0481897103564302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	-0.146698221796807	0	-0.293688391541753	-0.5	0.261842713100913	-0.0819951312297396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	-0.299322231773706	0	0	0	-0.0165909425943042	-0.5	0	0	0	0	-0.248156906592117	-0.255151334046598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0	-0.376519181098258	0	0.423680979964561	0	-0.5	-0.193621818374789	0	0	0	0	0	0	0	0	0	0	-0.136850194762144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2772307187827	0	0	-0.231654991307703	0	0
sp8	0	0	0.430005512573044	-0.317573504319896	0	0	0	-0.5	-0.437622069574564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0	0	0	0	0	0	0	-0.5	0	-0.0964382820252655	0	-0.161967265156929	0	-0.398768274908161	0	0	0	0	0.104166732053007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	-0.172699336771667	0	0	-0.410835206706685	0	0	0.318541908739856	0	0	-0.5	-0.229408197948637	0	0	0	-0.132185214008542	0	0	0	0	0	0	0	0	-0.279228179141483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	0	0	0	0	0	0	0	0	0	-0.207380107571392	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	0	0	0	-0.199245580501067	0	0	0	-0.5	0	0	0	-0.296129633481938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0	0	0	-0.257319831169373	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
