#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	47744	177621	85846	152578	138557	97849	197943	117229	188308	0	28917	26122	68951	27058	68444	24969	160641	0	69898	107707	60809	0	24842	78328	76571	143573	39422	20477	982	167542	34997	145304	255	26154	71703	110104	2845	9615	7085	177551	113335	70234	93416	38200	41570	198766	191199	124473	13364	140599	157003	57103	134375	13462	10485	74413	148322	54190	48706	43624	176976	117037	93245	30489	88043	98066	13868	164030	117779	194294	92312	2462	78149	0	172787	175864	25755	128157	0	42709	0	52926	89384	0	16670	7763	104143	547	15725	77865	0	183351	52016	78358	2576	60157	0	27757	192817	0
sp2	102416	143680	35132	81769	47975	172491	75384	61030	103277	95888	113234	40797	145980	61336	101303	431	118304	116900	95983	104163	74467	75415	116948	0	154837	129078	0	776	34484	151595	97779	131811	68033	17184	9080	162358	136199	1008	6769	80176	66204	35241	121985	0	169832	145445	148080	147325	5245	119	114059	14865	151397	182927	159225	22035	2	2927	63034	49210	52265	81179	80943	768	53503	141228	137097	113454	7875	0	76120	164344	152335	191886	43348	126102	75934	44	76389	71038	98221	144548	142742	1750	59526	0	62770	120125	27233	0	11581	130408	102297	168951	72692	52502	10903	108416	113528	5
sp3	67015	44830	29106	199	68814	185594	0	22759	0	1258	75861	111148	23711	43174	52108	92118	149715	193956	43260	48976	126665	131580	492	2136	56909	102457	80748	135393	3473	9343	46367	80594	556	108198	106212	81122	182288	25153	157382	110801	132511	31194	118629	113242	1647	97725	136883	151646	118732	117804	18607	60210	93012	20617	30905	89946	23903	4	133907	101861	42009	162244	139572	39	0	153212	185867	50611	25	68339	0	23044	56376	73	137767	20918	40140	4608	40431	21426	132575	152375	105850	36273	88400	67910	137817	129816	97880	88641	22131	26976	123048	81349	26985	114937	26	115915	47601	160704
sp4	39653	17	57166	184318	42480	0	163869	144422	117958	78745	0	0	39242	0	52571	93178	0	0	0	166860	0	0	182408	49882	8870	0	0	172873	15546	20643	111087	0	0	0	0	126	0	4	0	0	0	48743	0	0	0	0	31187	144487	633	36624	75171	0	128332	104	1989	0	1006	175099	185807	0	68692	0	0	101695	119381	0	0	1176	38848	0	88530	0	37560	9804	0	0	0	164162	195116	197315	949	20175	47332	0	0	1	0	0	33558	0	0	13765	0	0	145980	115033	50604	0	0	0
sp5	128733	126225	87830	0	85393	4356	2796	26	37374	110451	134383	30663	5101	6014	50940	3913	40217	0	156123	0	98199	134643	0	70408	0	73598	105547	83112	142226	71376	33996	162479	140937	178090	163385	122978	216058	177120	68896	156978	153141	9458	78831	199486	31089	16834	161	0	147165	57911	60538	121232	56249	47114	47734	203292	91864	7117	17029	130350	14701	107968	1	1840	0	0	54866	16189	96037	103705	101968	0	151760	0	49727	105014	36262	16429	29678	0	18300	0	567	58979	197809	77266	653	270	183341	4056	180363	142851	112669	49007	88942	8	293	159909	126554	199340
sp6	2043	0	58310	0	0	0	0	0	0	55699	0	0	103988	2487	0	0	1	3515	39756	0	0	103513	0	1617	0	0	81367	0	1504	27	0	22144	0	136060	21452	0	141310	0	135218	0	0	0	8145	0	66452	0	0	0	46432	0	67183	0	29840	0	53359	87535	0	17493	0	8864	0	0	0	56648	0	19244	96282	0	41908	0	0	0	90181	123	0	0	0	0	5	0	44179	0	0	64853	88983	0	0	538	79554	3853	31280	0	109605	0	0	0	9414	0	0	27601
sp7	81599	0	0	84702	0	0	16981	46914	643	48521	0	0	0	94	21895	86429	0	0	88779	5201	0	37873	12532	28472	316	0	110791	11998	72741	121950	36896	0	138095	28240	64339	0	0	132968	0	19154	0	0	0	14	161754	0	0	0	75803	0	59524	0	0	0	0	163378	17249	0	0	0	0	0	0	4839	42656	0	0	0	7	0	75899	5124	0	0	0	32764	1	60804	0	15	0	0	0	147434	91094	3460	0	0	877	0	33805	0	0	0	22539	0	0	25729	0	0
sp8	0	21246	103760	0	22750	293496	3647	0	0	36139	142695	260458	3	193597	140074	54548	273067	355913	152475	0	103988	172395	0	50887	512	260993	171926	14309	13279	2	5957	169972	89738	135198	156315	125694	139352	165219	205118	220112	199537	6811	264290	209773	46736	108792	142160	27936	0	184067	0	251004	34815	44531	60223	104620	52048	0	4271	219251	10581	333961	121013	63178	1	127141	177453	135363	89172	116633	44739	198990	122147	0	128523	168890	213249	0	147	2	172732	131812	107883	59012	110999	128843	279587	204709	54538	153029	98445	152220	253062	27144	0	42871	27068	86128	154357	264909
sp9	115865	69205	38450	131938	77466	24167	40342	111220	31496	56268	111991	3	97420	7361	71613	178337	53559	0	2555	154997	80219	768	69854	30953	87898	0	87312	108280	6	30259	126786	28955	0	29703	33962	89547	137468	20112	6	1413	161	184775	18	52933	5	9571	0	58570	159143	57211	175990	0	77167	120794	114344	162648	3	91655	0	0	41	0	161214	66220	140974	101351	178477	76157	0	118666	67833	1853	0	42984	96	507	0	0	9269	25514	4	38643	134255	8900	115649	0	1325	3	166463	14378	96153	33	53	158165	110194	20	0	97898	0	1
sp10	107931	0	11492	0	54	0	0	0	0	86850	279	0	0	124069	0	107804	0	153323	23	0	0	183085	0	143164	0	0	0	0	62683	2	0	1	174429	85340	0	0	5505	0	10223	0	0	0	126571	93883	69858	0	0	0	50827	0	17191	0	0	3	143762	210086	0	0	0	0	0	33042	4	0	0	0	0	0	0	0	0	95557	0	170782	9	8	0	0	0	0	0	0	0	255494	161675	10865	0	174655	38792	0	119769	0	141242	0	0	0	14775	0	0	0
sp11	34979	93245	25123	150941	54210	10496	70521	142465	139417	0	181714	194025	70976	41555	25432	107058	25754	0	80144	139593	175286	13687	195084	740	14752	109276	5408	199212	145817	165933	155374	60757	112394	74	144341	157069	52342	135709	31080	102879	72244	57603	82890	127539	95716	100232	177427	97028	43575	129502	38565	113645	83157	191134	0	0	181071	123440	95172	188471	176107	106096	50861	65041	171673	199717	99733	104308	17773	60431	64224	39116	32229	369	115967	192869	186589	181492	87937	110088	171163	88575	153743	0	115020	103115	54528	184	19727	185431	47412	167372	50727	89244	157155	143305	105180	179274	14354	78744
sp12	188047	16348	76394	21095	146425	123392	25478	183434	136685	126752	108383	3286	5657	68444	196546	85023	52592	90892	82667	64528	73179	98924	29725	68454	86166	155719	11944	193474	129210	34129	50779	60077	193103	54048	90532	169647	13972	141082	26722	4364	197486	48382	126345	63677	32143	199514	161867	74541	73786	25545	23100	168335	59042	91478	177078	67422	195650	112587	175551	99231	193212	183592	82831	91822	113066	14897	60049	166044	71237	132465	177946	88375	44480	143513	107898	111439	62801	68359	162140	130325	99062	114634	168308	74456	68697	169713	162581	178125	7946	114057	139546	6619	3900	160933	173830	107228	39017	117302	118041	195198
sp13	104207	235	49027	44436	120660	0	115341	5	3	158640	342	166783	180	63938	0	52855	72336	0	103147	28047	7370	150991	77563	128491	0	38274	76745	22	149386	12438	21739	80333	0	78800	102	31882	0	30140	185931	37213	113315	18	63402	17781	129150	33159	154002	0	0	133758	8	180760	5884	127968	80634	80778	4437	0	132041	140612	86187	165700	0	39639	0	67064	5	11789	124198	104	67564	165164	173799	77339	175396	19836	54907	89033	1561	93139	46803	0	81928	86240	126783	18793	80317	79460	65440	157872	141930	46743	101559	4	62040	75840	175638	2306	154931	85331
sp14	138162	107312	108185	13423	57904	46849	96936	0	170588	0	84012	73827	46490	170557	72940	84374	0	164013	118890	38556	107971	81368	4008	176492	133209	159064	133402	101775	107992	9438	75220	135540	27322	35462	455	0	0	132952	38423	67039	185628	99243	87741	161890	42672	13300	151453	29822	79643	61552	95068	141703	104308	114049	0	0	53692	33055	32549	125814	175969	19722	748	34931	249	11	67360	11919	163340	0	43141	148635	5496	145332	165254	144966	80241	6179	3601	76790	196476	119879	22864	20191	80750	94794	170040	55506	0	99421	1190	94353	183532	15434	0	128655	181210	97012	59596	78441
