#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	60874	98826	47254	97200	110100	158311	23440	150374	144594	101620	108753	127127	15945	172363	105208	77181	99729	122120	80521	30460	40155	105410	16353	113169	164180	196767	14039	142563	82586	101693	134646	148815	94602	60804	35739	92787	34200	63252	58993	17567	34525	181077	92678	8260	192305	27289	26944	80709	12980	189084	98698	124885	62330	182396	67560	53597	28418	17727	37498	176595	178458	4367	62087	174779	151574	25800	71941	134364	62309	146307	133070	42097	63825	174651	106132	34377	114087	4453	160790	78792	48565	13231	23798	184122	147206	38571	138868	16573	28848	187468	100353	97737	124535	22538	50169	55730	33350	124993	149920	65820
sp2	105844	197976	87895	3697	50972	2143	190971	195524	88611	135466	45947	182741	167671	78568	80874	64700	69167	51037	173092	186217	171129	105968	181892	76445	139020	114605	118533	80709	134596	137313	70937	158358	47602	48425	162672	168633	97792	63314	179226	98296	32135	30443	83746	188333	181839	60060	92029	61934	162851	46502	69917	40005	163487	13072	182596	122565	158121	51534	99482	96987	74317	52541	193780	122323	82915	161615	110111	23355	134152	157941	63537	16016	98366	93243	38109	30562	105173	113400	169434	22495	11940	151280	21848	75203	106939	33297	35444	155587	97878	115202	41353	153016	157033	114462	185102	185139	120671	179790	78567	107948
sp3	87780	35455	33041	47706	121803	113189	120885	92050	67070	110888	197597	187694	151734	172181	25175	33614	84659	156657	18700	50534	195410	170496	21585	158985	52891	60698	180350	138240	25572	5694	129454	153705	155782	7242	2e+05	88828	153652	108211	88223	46853	17331	21175	98887	97820	172807	153179	153245	18051	192186	4766	13806	160555	188236	119122	103008	179566	122288	67565	40898	121634	11744	31119	199416	117009	83914	112694	54528	34029	192028	197056	23060	103571	161796	52133	191842	184904	5627	7997	138683	155057	122551	118246	175394	170560	144671	91323	176781	83406	194565	2823	6784	181508	9509	72203	113876	65970	79394	186912	143118	3317
sp4	21764	141215	55565	96583	89906	195009	172973	189168	15135	38938	7741	66085	81920	188997	186653	187695	52609	49818	198690	79720	143429	86383	102081	2023	123679	55928	12663	26530	180249	98489	10226	14373	14969	178376	11835	22621	185544	172838	18791	101401	41447	79116	186627	2651	44562	50257	198263	142292	81655	109984	190448	45159	17435	34956	193390	23296	156575	170154	17330	120842	57402	3206	159551	59163	111581	93104	101446	12763	150250	190420	65351	198336	76793	117396	138160	162140	143000	173653	171493	10302	141401	20254	123764	41706	172708	35134	45133	23577	94051	166886	35643	52978	19926	110573	82973	143211	92745	59860	170126	46969
sp5	48	165016	77108	67539	98609	83772	12969	169109	0	135007	78763	0	130220	64121	12442	128330	183154	78489	139647	27419	52058	8576	52621	168934	192088	0	19015	162076	32967	82992	62	159297	65224	95268	23852	107618	67286	944	89122	104371	112303	134036	9	1534	139620	12036	156995	140946	0	14	21912	91601	0	90171	49410	3	0	137290	100530	2066	66403	1	120077	127425	0	104670	62946	175837	135463	4307	0	0	47068	78382	84122	47157	97174	0	114268	1592	87454	15076	4380	0	0	0	130196	26669	9864	109819	148122	47092	127254	0	0	0	23808	0	141358	2557
sp6	0	124701	131732	21330	0	0	74875	55634	2	18667	0	8809	0	0	149460	156653	311	8426	31543	71474	34	0	163079	0	16450	96201	0	35635	172	123373	55413	0	46910	169580	0	92622	0	0	66764	141350	135025	164298	1	74751	0	55943	0	149449	0	155283	166126	0	0	17654	4	0	55853	6285	140962	6174	92406	1395	0	19245	42914	201	93626	17905	0	1	4114	1	0	1	0	0	4662	162896	55560	29872	0	42813	16492	0	40774	1154	0	16548	0	192504	157691	39405	30391	61745	51838	1316	117	33185	0	121637
sp7	89320	126842	40027	166306	83476	73214	113725	175299	146563	5506	24700	117895	120114	115741	176626	168887	119567	8158	195648	41212	44273	91230	163083	11541	13639	88690	127382	78234	62467	31172	164256	74251	111879	37989	7916	72292	94440	59984	48194	130851	118294	135680	175139	158044	184855	78648	121836	37297	134976	185774	160096	95066	142440	62174	133629	89821	156672	90099	140297	89473	59473	40692	156649	121681	159218	50922	89993	9427	18147	184520	148278	90761	153636	3750	78579	13904	183112	168699	17549	180070	124283	11970	91210	128627	198164	131098	184656	23419	114703	104237	69307	3903	69428	92435	174995	3530	38614	135924	12133	67253
sp8	47866	36615	23353	112972	26194	124882	57290	42640	168039	131183	162926	56831	123952	167647	115173	333	13939	94553	72501	129179	146035	91036	72894	19944	1048	181848	168206	23752	165331	84826	137101	45197	66304	139572	155241	55742	102742	17728	45310	56	106896	232	32411	22140	76190	110582	63859	62708	184601	162779	21560	24474	159076	88025	28216	48872	181455	5483	44022	32095	93557	72539	1358	148946	107823	106335	144405	15569	60034	18758	150290	120571	178259	156489	136591	1466	69396	97672	156120	117457	162276	155017	74646	173367	166659	176229	220	67419	65059	43359	40396	71577	88259	138653	162455	118427	130464	170579	41617	18317
sp9	198195	151635	166834	10206	23312	171741	114097	133362	8141	178850	176036	36664	125238	135659	82332	74410	72662	68420	155592	194583	80576	147875	89318	158811	66616	28138	177709	78146	59031	178917	84278	85395	103248	100793	95372	102858	104046	177124	175462	178233	10134	83607	136761	56961	116219	12587	80990	118732	89094	68549	87012	150132	79176	37867	175624	4218	67857	42551	124341	189388	144042	134530	158372	13288	102828	169721	75414	21699	21934	104017	2462	11729	127593	129823	162125	61870	98032	150264	35170	145148	194828	26288	45843	83324	54759	5176	187725	145254	108674	159311	199659	169422	17168	196531	36929	155628	184853	152085	174437	110685
sp10	217272	157582	17555	69667	214614	210183	158019	246689	105430	121251	25862	236956	139873	71640	75156	98711	190636	50097	166956	48183	36221	161095	163297	104879	156711	40544	47314	30698	38422	152946	184878	102989	145353	166343	144426	132823	81443	41373	199256	63889	166098	182363	207386	223191	255159	74898	81184	187608	238565	85824	126329	176808	119201	63268	119424	42472	150359	98350	65982	100934	94923	123385	52580	218250	189936	153555	101701	47483	90224	214656	171973	73756	194567	89480	184581	94034	169601	231766	105788	203906	180611	125807	76915	209968	179139	157843	80056	47307	209963	202000	77491	45467	87520	89037	102271	172251	151773	122236	134474	185320
