#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189	sample190	sample191	sample192	sample193	sample194	sample195	sample196	sample197	sample198	sample199	sample200	sample201	sample202	sample203	sample204	sample205	sample206	sample207	sample208	sample209	sample210	sample211	sample212	sample213	sample214	sample215	sample216	sample217	sample218	sample219	sample220	sample221	sample222	sample223	sample224	sample225	sample226	sample227	sample228	sample229	sample230	sample231	sample232	sample233	sample234	sample235	sample236	sample237	sample238	sample239	sample240	sample241	sample242	sample243	sample244	sample245	sample246	sample247	sample248	sample249	sample250	sample251	sample252	sample253	sample254	sample255	sample256	sample257	sample258	sample259	sample260	sample261	sample262	sample263	sample264	sample265	sample266	sample267	sample268	sample269	sample270	sample271	sample272	sample273	sample274	sample275	sample276	sample277	sample278	sample279	sample280	sample281	sample282	sample283	sample284	sample285	sample286	sample287	sample288	sample289	sample290	sample291	sample292	sample293	sample294	sample295	sample296	sample297	sample298	sample299	sample300	sample301	sample302	sample303	sample304	sample305	sample306	sample307	sample308	sample309	sample310	sample311	sample312	sample313	sample314	sample315	sample316	sample317	sample318	sample319	sample320	sample321	sample322	sample323	sample324	sample325	sample326	sample327	sample328	sample329	sample330	sample331	sample332	sample333	sample334	sample335	sample336	sample337	sample338	sample339	sample340	sample341	sample342	sample343	sample344	sample345	sample346	sample347	sample348	sample349	sample350	sample351	sample352	sample353	sample354	sample355	sample356	sample357	sample358	sample359	sample360	sample361	sample362	sample363	sample364	sample365	sample366	sample367	sample368	sample369	sample370	sample371	sample372	sample373	sample374	sample375	sample376	sample377	sample378	sample379	sample380	sample381	sample382	sample383	sample384	sample385	sample386	sample387	sample388	sample389	sample390	sample391	sample392	sample393	sample394	sample395	sample396	sample397	sample398	sample399	sample400	sample401	sample402	sample403	sample404	sample405	sample406	sample407	sample408	sample409	sample410	sample411	sample412	sample413	sample414	sample415	sample416	sample417	sample418	sample419	sample420	sample421	sample422	sample423	sample424	sample425	sample426	sample427	sample428	sample429	sample430	sample431	sample432	sample433	sample434	sample435	sample436	sample437	sample438	sample439	sample440	sample441	sample442	sample443	sample444	sample445	sample446	sample447	sample448	sample449	sample450	sample451	sample452	sample453	sample454	sample455	sample456	sample457	sample458	sample459	sample460	sample461	sample462	sample463	sample464	sample465	sample466	sample467	sample468	sample469	sample470	sample471	sample472	sample473	sample474	sample475	sample476	sample477	sample478	sample479	sample480	sample481	sample482	sample483	sample484	sample485	sample486	sample487	sample488	sample489	sample490	sample491	sample492	sample493	sample494	sample495	sample496	sample497	sample498	sample499	sample500
sp1	47300	134351	97295	252979	143550	210134	162358	172490	93822	188777	230029	214687	159919	248677	351970	48073	336360	163891	183825	89137	177317	46658	261684	170943	151751	223669	202712	238893	291369	135421	162583	187493	154434	71804	265654	278707	132896	143141	94297	176571	97897	162924	137349	158140	134710	119410	168654	273024	263740	188907	165716	136076	168529	156166	64942	168281	78695	160501	294663	0	227334	157455	276357	247262	232157	39	238902	91151	106311	246052	102987	235005	183118	192855	144904	260575	311055	299512	186106	239540	184740	278428	268708	54227	292763	154749	59236	191719	136959	158033	168099	145908	165224	254441	48264	147494	112290	0	157858	353132	53461	183691	71650	29	193554	173060	249314	162495	153416	140071	48567	91034	190320	120644	100877	48737	104026	214708	270647	277168	170383	123951	156358	117242	185171	123216	274610	88431	155117	47523	79828	229652	152005	171910	111655	173074	216679	156387	331598	176409	116189	64220	293690	151280	58011	358337	291997	266279	140043	243176	175898	156534	115702	150797	225041	13758	304473	76192	8005	228205	129	77203	187923	278529	166851	140834	93110	159969	65304	243274	254295	186671	204477	97187	101801	159112	222912	198678	91198	165672	134489	225678	219075	58053	140349	185304	206415	66243	99281	147852	279258	244759	134100	120874	40921	278021	223957	193093	48091	59282	260882	256168	80935	166692	53073	90853	31593	147300	72603	22637	251260	248380	125965	110195	68405	163408	296959	69530	55016	125406	135262	112597	117771	401278	141464	216753	149864	204140	148343	310568	96740	100936	102337	282848	70522	138163	279092	121681	83450	54529	47986	258850	320177	177525	23542	250520	241254	177951	266316	81232	123643	170961	145206	176758	128141	312442	184432	268244	123006	228103	107274	276838	79984	247467	170528	273938	124127	170260	152975	36286	210643	73052	175422	127407	226517	95840	47729	166824	174622	109677	237931	115420	277886	192849	101048	244782	111684	93603	3083	74037	106305	123351	135088	183687	80355	32082	231533	278629	195268	246368	223175	54542	98148	252595	125365	103055	65960	199743	234487	1	214886	118322	229457	221694	114779	101051	31074	186526	128280	97832	137667	151208	175799	263397	88540	98370	127932	96891	53185	229961	164686	124782	271083	195507	179134	292127	250537	17380	208791	136493	223071	150494	0	152986	161671	39750	123002	3539	202748	239567	165190	119290	208777	72615	104866	411659	89947	179651	239327	175088	105816	105950	109313	218886	183115	299574	73942	199733	152491	17966	147960	172698	164959	138855	327778	163683	171180	31638	305498	210237	166159	235500	161867	306362	115430	192131	125130	204451	152741	162784	204827	83856	151384	0	62712	181552	140489	202087	289566	209200	101398	121919	239113	260474	119932	284611	216427	58546	161331	49699	21695	110069	221730	128761	170037	181749	287739	79133	277434	209332	257075	282337	94286	165751	161986	111644	122391	330251	232409	130094	241571	108722	106861	91519	212996	192528	154786	195894	158878	111063	110707	196100	219052	202159	218253	135138	151499	100119	140280	131159	132923	109934	89621	55463	283643	243677	85590	93474	271595	351350	185967	67782	189606	95631	28664	74709	130935	210091	17192	220962	221190	125923	261655	192304	24414	163293	288513	114247	387460	119197	218073	280967	168533	277113	295338	228476	266388	175719	239815	117001	49789	193771	173804	340131	842	183703	131854	216625	252892	27929
sp2	0	0	0	1	0	0	0	0	0	0	0	107334	0	348	0	0	0	0	0	0	0	0	0	105170	0	0	0	0	0	0	0	0	0	0	0	0	60356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226460	0	0	0	0	0	0	0	0	0	0	0	0	0	79054	0	0	0	0	0	0	0	0	28509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51780	0	0	0	0	0	29	0	0	0	0	0	0	0	120078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109502	0	0	0	134615	0	0	0	0	0	0	23	0	0	0	0	0	0	0	94294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52195	0	0	0	0	0	0	0	0	0	0	53049	0	0	0	0	0	0	109312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	152291	0	116651	0	0	0	0	0	0	0	0	0	0	0	1	0	6146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218451
sp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57696	0	0	0	0	0	0	0	45315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	164179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2985	0	0	0	0	0	0	0	0	0	0	0	0	150574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	127205	0	0	237777	126453	266800	0	0	204448	165431	252143	163333	230982	299773	258996	98456	238132	177150	76490	4261	83913	0	159595	218036	225626	174931	205971	248344	161093	67072	0	285665	0	100516	116276	141053	0	0	29266	104509	118001	0	117675	0	156915	178554	19	273789	272066	257617	0	608	91317	84879	79107	58444	249710	135536	261929	0	288532	1	236694	179108	323853	68432	194502	188037	0	148481	114714	80911	107119	107332	17736	206190	192909	185335	78469	281537	195997	285518	266278	23710	233266	0	8298	119874	24449	121895	0	0	30217	139906	0	151842	170269	0	142135	268604	0	113325	68346	32331	222867	253158	168026	0	148781	0	0	206624	212868	127479	0	22	2484	301893	291642	298414	184878	298720	138685	96321	214553	18595	201304	0	0	58352	0	92556	99348	103146	54261	207029	323368	0	281455	0	192369	55423	282099	46313	54241	276884	365744	131875	105112	190563	0	0	57099	72999	204611	0	279043	14	0	73844	0	76408	246250	219862	168870	50894	113946	3	0	175220	300434	170954	86053	40211	0	140769	189800	210914	147618	262149	194134	197220	68869	0	141389	196617	205263	0	145512	0	136977	205641	215110	155512	73121	243770	84865	125845	1093	45866	191784	219049	120488	283111	51359	138005	32017	210904	115092	48132	169725	228258	68065	0	44854	115808	284942	83133	0	150352	0	0	0	374167	182206	168308	124231	158041	201286	253119	843	83472	108962	141763	94127	186152	267276	0	0	73685	76023	411754	221303	231053	0	160080	85780	202126	364036	70770	187998	257175	0	243238	97488	299849	165991	141568	0	355656	0	228796	73817	186935	0	354709	0	197427	205351	0	196032	0	134714	199230	125829	133053	5	0	211762	133440	195832	17784	354427	192360	38839	148738	0	0	0	115483	133201	0	173003	0	0	0	144135	209136	0	251148	187608	81861	201312	171457	269627	159189	14922	124860	85046	164011	163184	87952	307480	140864	0	7	0	0	106208	230082	87465	226992	203888	262164	118898	0	139339	37782	0	249781	133712	0	203674	222320	238193	201068	364532	0	85037	73760	173565	140730	3040	0	196783	62241	130183	0	299811	108733	250190	0	228812	102538	41720	352381	0	0	113183	133407	70942	481	146550	103742	115188	189310	0	234946	6427	0	89009	217197	177447	123980	287297	1	85401	0	174937	186516	91911	219622	254973	218550	12147	52702	0	129459	118859	97483	116773	0	0	86798	70003	219310	17915	150791	248175	153715	161462	0	232053	115732	190217	296317	176314	120824	196207	58515	0	0	258057	131613	223293	3004	230238	0	215730	192943	200348	161012	43506	159248	256355	183005	12	280737	155708	209920	356655	690	35841	111807	209267	233748	186102	169920	128149	166	147056	253443	48458	297228	147624	0	167969	94417	97975	0	122572	86483	76174	26238	238542	199688	0	234457	137791	275029	0	0	2	150266	0	0	37158	211454	0	203281	126305	181111	181717	166986	0	103661	218729	635	312612	0	207471	207941	268842	207991	303169	59377	116654	0	264297	3479	84318	164951	154718	298453	0	164501	0	134414	252169	169051
sp5	153154	0	0	0	0	0	0	0	119893	0	0	0	124127	0	0	99306	0	105823	0	0	0	20342	0	0	73187	0	0	69168	0	0	26312	0	18600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5775	0	0	78156	0	0	0	0	100271	0	0	0	0	0	91245	0	29787	0	0	0	0	0	54366	0	0	0	0	0	0	84835	468	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	36509	98248	0	0	0	0	108719	66	0	11	0	0	0	0	0	13260	0	24153	0	0	2029	3	75808	0	91695	0	0	0	0	0	0	0	0	0	9267	0	0	0	0	0	0	0	0	88744	0	0	0	0	0	0	0	27030	0	0	0	0	0	370	24020	0	90078	120802	0	0	88	0	0	0	0	0	0	0	0	37873	0	0	0	90676	0	0	0	0	60474	0	0	0	0	0	48267	109379	45405	0	0	0	0	0	11625	0	1512	0	0	0	0	0	0	84656	159286	0	0	0	0	0	35371	0	0	0	0	135879	0	0	0	0	0	0	0	0	0	126922	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9278	0	0	0	0	0	0	0	0	0	0	0	0	0	49365	0	0	1	0	0	0	9591	0	52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	129617	0	0	0	0	1631	0	0	0	58865	0	0	74394	174289	0	0	0	140089	0	0	0	0	21135	57390	70657	0	0	76002	0	0	0	0	0	0	0	0	86404	0	0	0	0	0	0	0	0	206	0	0	0	126036	115524	0	0	151356	0	0	0	12871	0	0	0	0	0	0	20252	0	0	0	3437	143	0	0	87980	0	43247	0	0	0	52449	0	0	0	0	0	0	0	0	0	51561	0	0	0	5352	0	7102	0	0	0	0	0	0	170177	0	0	13079	0	0	0	0	40938	0	0	0	0	0	40856	0	0	0	0	0	8062	33605	0	0	0	0	0	0	0	0	0	25235	0	0	0	0	0	0	0	0	0	0	43661	0	0	94716	0	0	0	0	0	0	0	0	1	0	0	0	0	19279	0	0	49198	0	69435	0	0	0	0	0	0	0	19437	73780	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150070	0	0	0	81390	196	64230	0	19	449
sp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0	134181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53119	29403	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	42170	0	0	0	0	0	0	0	37352	0	0	192	0	0	89481	0	0	0	0	0	0	1	0	1	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94553	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	74299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50314	0	0	0	113496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95669	0	3864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28718	0	0	0	0	0	0	0	0	47579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43137	0	0	0	0	0	0	0	74240	0	0	43713	0	0	92290	0	0	0	23137	0	0	0	0	0	0	73353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3131	0	0	0	0	42195	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43564	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	96610	0	0	62258	0	0	0	162268	0	0	0	0	0	30156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	10599	90239	45714	130071	61618	27685	138381	136255	73632	155533	158115	86704	14346	10109	55781	78	3	90630	65148	130568	70276	62822	166245	617	5866	8179	89721	115581	53340	21534	108449	0	143718	77594	112439	157143	51957	158291	96271	165088	151169	54595	132490	33009	135520	45359	60652	11832	153722	6	198156	141016	59198	187844	83474	146429	2522	432	39592	79705	14616	182498	9976	8989	39007	86706	62816	0	171916	171434	93624	86191	85595	68105	124406	74433	163938	144795	130309	75453	0	0	170122	86059	49219	183752	152155	167034	165533	163796	56164	112126	194500	4817	60539	115098	122231	155740	0	78844	47798	94182	181285	87366	116	100222	67058	66542	87944	105753	125075	114882	133670	111323	141803	58080	126055	74	160345	66974	172739	0	22749	62845	61745	17860	97147	196456	106801	144965	184342	121676	92297	161047	182015	45054	123	103444	138521	41849	73076	128526	27147	181442	54820	22467	6009	8420	25082	40335	150394	107528	184822	125591	175131	132798	27725	127008	674	188048	62919	14663	132953	44153	100108	171724	176355	118534	102168	97706	84302	122543	81880	134826	109302	174823	161523	83738	176498	16747	31606	118477	163648	121957	44556	112487	1603	163713	143257	160381	183766	177	55912	72806	160013	32855	86323	183340	80298	173346	61214	155610	10431	47467	140837	23852	122288	118751	166809	51498	120050	28286	185332	17516	471	154041	40633	63935	84336	172620	13362	103562	160150	20193	0	57557	94804	132116	4258	56614	130445	112668	167814	42713	124147	164412	23836	162890	29609	108775	127759	6448	33598	170692	84603	139664	132879	3090	134486	152765	159330	75338	128009	29068	125064	67833	169041	47219	190257	36116	113830	92673	188661	36549	127698	1217	76930	0	118560	157370	59608	165168	117960	13475	62443	133664	75209	111715	3	83860	163799	107244	0	4595	117605	116352	10268	75412	131242	178533	105201	185779	0	137333	171305	96516	16022	98730	110217	12580	84922	104971	39850	6019	27609	0	31118	156656	135963	85334	145241	71185	37003	25880	113078	129435	27935	147850	41940	71264	13621	161580	102659	43025	172107	126596	89062	3563	75616	169062	4772	66019	58608	108900	37166	114464	52886	25721	183405	170127	53195	2	141	155399	3	5956	176352	211060	0	171451	35232	90427	50806	105895	100962	91672	69494	22793	30024	145108	36026	164609	66115	92376	81679	101612	85038	17234	123897	1285	3702	159469	103661	150496	82190	81579	138751	151852	33854	144633	167403	31137	0	102534	0	169189	71160	137047	67953	1331	91321	14393	2183	0	145873	118935	33109	54926	164962	146111	146050	158299	10071	162096	114575	19956	30901	132315	162661	129572	127046	101508	58051	78	0	187413	127423	155220	111420	169091	84221	20404	117793	16887	56314	115964	86083	97764	4287	161055	133430	190175	148402	178248	11896	1	24916	71434	0	151623	135071	27611	139418	46495	122231	172569	4378	63708	103360	173160	112661	166307	72948	48920	450	133	92440	65215	46113	153035	121963	108398	105996	158077	29969	94568	5	45870	45357	63217	57977	65262	23468	26	126672	172279	78668	122300	131069	92041	154781	30192	105752	441	120695	185673	280	70904	6973	195534	856	75769	89784	155783	100821	17	167940	62266	45	63279
sp9	0	87984	88484	43095	95242	98114	135857	163999	23715	1	126056	0	86698	128407	87728	120350	109606	5	18237	73081	22469	121659	139447	212	36751	63282	162009	134757	15023	41031	132990	0	66638	108046	94452	39809	5504	6125	71216	67723	13206	145516	14770	110769	63931	87873	63958	161844	86226	106248	0	7786	103027	23	26000	173625	0	99343	100952	0	128536	99084	20604	0	172802	153434	163491	59701	105206	0	0	0	20362	85468	30939	76868	181966	111958	71349	108143	148175	92092	96123	4805	89545	85778	19564	0	78427	173017	0	0	42384	156612	118762	12172	185379	133890	141183	123342	122082	168719	16242	159281	137083	139916	91740	0	124350	173033	134162	0	0	70865	0	0	70268	103937	89387	122376	205141	85793	50656	142519	97094	134459	188513	46181	119381	0	90889	0	98635	14082	52980	120462	91665	100178	138312	0	65054	92140	90559	116385	1185	140912	71998	15187	114353	111412	0	37533	174566	95675	0	8818	176369	50109	70619	0	49766	16976	103635	28369	55880	55458	137161	156101	106	160633	141872	88183	50847	105625	90044	103003	79915	17297	0	1549	19349	67441	9237	153001	141856	227	56366	0	175223	0	116776	81241	59832	49922	0	118383	108712	55458	101226	151664	141054	169630	73620	93741	72339	0	158793	66268	140739	0	0	93989	130131	23	126403	167836	193837	151931	36578	137882	164780	111754	109880	135517	0	124892	40000	0	224	63204	6560	188334	0	120642	94894	139693	89629	118709	1079	0	0	194968	111192	131581	1547	0	168241	41527	114321	130562	114843	105470	20762	72465	197188	166831	29992	141806	156400	202268	5	0	113545	337	103941	109091	133059	90562	0	108441	156441	0	206448	853	36946	3324	0	56374	127598	232146	18	0	88840	108739	0	0	33510	133503	193425	156479	68822	71968	32653	111270	0	0	32	111133	0	100755	126688	100217	78449	68839	170650	28	1986	71118	0	64611	90391	150980	132042	52814	57620	185512	63124	503	104724	108298	21473	0	56344	179652	57869	88439	59782	161374	56034	128399	109559	82438	7325	77137	194078	131226	173607	1	114983	95838	93655	142176	147895	169580	157551	52951	0	107420	81191	144527	0	143522	0	129240	15881	168675	0	88482	48248	946	146101	4682	52925	50526	77275	199643	190310	24405	0	3316	59321	180301	0	23985	152923	0	130148	72705	83224	143425	79496	32530	98371	54064	2089	85236	78097	148596	29708	0	145993	178552	109199	52762	135983	46977	135127	64092	74018	153067	77627	2323	20714	0	0	91291	166912	0	100209	81347	88435	0	86250	124560	78423	45285	122783	176561	119845	128002	158782	24	0	166823	144178	72520	55097	163795	126391	135666	129419	0	185865	107935	167926	80326	244	0	162306	145531	38779	0	174949	0	62380	127737	58309	141200	135781	156497	125199	102233	74688	114583	106266	144196	0	140515	63006	193175	38408	74928	152	93733	108370	188003	1384	44671	72454	72537	57	39596	68069	91332	159858	194150	205281	25258	165120	90345	0	15711	113742	173582	173555	87846	60617	190399	117500	123655	8735	96308	40639	125647	40753	293	150570	33667	152619	0
sp10	0	2	0	0	0	0	68144	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38486	37308	0	120077	0	0	0	0	0	0	81260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95377	0	0	71722	188	0	0	0	69557	0	0	68062	0	0	0	0	0	0	0	0	0	0	0	0	18685	0	0	0	64077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23178	0	0	0	0	0	0	1	0	0	0	0	0	0	56960	0	0	0	35572	0	0	0	0	5450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82177	0	0	4	0	0	0	43147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	75616	0	100784	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16729	70089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46853	0	0	0	0	0	0	0	49622	0	0	0	0	0	0	0	0	0	0	98837	0	0	0	0	0	0	0	0	0	0	0	0	0	32719	0	0	42987	0	0	0	0	33289	0	0	0	47111	0	0	0	0	0	2	0	0	0	63633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38916	0	9308	0	0	0	0	69	0	0	0	0	30185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	91502	136	0	44312	0	0	0	0	0	159	0	0	0	1486	0	0	0	0	0	0	0	49928	0	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61828	0	0	0	0	0	0	39319	0	0	0
