#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
sp1	Kingdom_sp1	Phylum_sp1	Class_sp1	Order_sp1	Family_sp1	Genus_sp1	Species_sp1
sp2	Kingdom_sp2	Phylum_sp2	Class_sp2	Order_sp2	Family_sp2	Genus_sp2	Species_sp2
sp3	Kingdom_sp3	Phylum_sp3	Class_sp3	Order_sp3	Family_sp3	Genus_sp3	Species_sp3
sp4	Kingdom_sp4	Phylum_sp4	Class_sp4	Order_sp4	Family_sp4	Genus_sp4	Species_sp4
sp5	Kingdom_sp5	Phylum_sp5	Class_sp5	Order_sp5	Family_sp5	Genus_sp5	Species_sp5
sp6	Kingdom_sp6	Phylum_sp6	Class_sp6	Order_sp6	Family_sp6	Genus_sp6	Species_sp6
sp7	Kingdom_sp7	Phylum_sp7	Class_sp7	Order_sp7	Family_sp7	Genus_sp7	Species_sp7
sp8	Kingdom_sp8	Phylum_sp8	Class_sp8	Order_sp8	Family_sp8	Genus_sp8	Species_sp8
sp9	Kingdom_sp9	Phylum_sp9	Class_sp9	Order_sp9	Family_sp9	Genus_sp9	Species_sp9
sp10	Kingdom_sp10	Phylum_sp10	Class_sp10	Order_sp10	Family_sp10	Genus_sp10	Species_sp10
sp11	Kingdom_sp11	Phylum_sp11	Class_sp11	Order_sp11	Family_sp11	Genus_sp11	Species_sp11
sp12	Kingdom_sp12	Phylum_sp12	Class_sp12	Order_sp12	Family_sp12	Genus_sp12	Species_sp12
sp13	Kingdom_sp13	Phylum_sp13	Class_sp13	Order_sp13	Family_sp13	Genus_sp13	Species_sp13
sp14	Kingdom_sp14	Phylum_sp14	Class_sp14	Order_sp14	Family_sp14	Genus_sp14	Species_sp14
sp15	Kingdom_sp15	Phylum_sp15	Class_sp15	Order_sp15	Family_sp15	Genus_sp15	Species_sp15
sp16	Kingdom_sp16	Phylum_sp16	Class_sp16	Order_sp16	Family_sp16	Genus_sp16	Species_sp16
sp17	Kingdom_sp17	Phylum_sp17	Class_sp17	Order_sp17	Family_sp17	Genus_sp17	Species_sp17
sp18	Kingdom_sp18	Phylum_sp18	Class_sp18	Order_sp18	Family_sp18	Genus_sp18	Species_sp18
sp19	Kingdom_sp19	Phylum_sp19	Class_sp19	Order_sp19	Family_sp19	Genus_sp19	Species_sp19
sp20	Kingdom_sp20	Phylum_sp20	Class_sp20	Order_sp20	Family_sp20	Genus_sp20	Species_sp20
sp21	Kingdom_sp21	Phylum_sp21	Class_sp21	Order_sp21	Family_sp21	Genus_sp21	Species_sp21
sp22	Kingdom_sp22	Phylum_sp22	Class_sp22	Order_sp22	Family_sp22	Genus_sp22	Species_sp22
sp23	Kingdom_sp23	Phylum_sp23	Class_sp23	Order_sp23	Family_sp23	Genus_sp23	Species_sp23
sp24	Kingdom_sp24	Phylum_sp24	Class_sp24	Order_sp24	Family_sp24	Genus_sp24	Species_sp24
sp25	Kingdom_sp25	Phylum_sp25	Class_sp25	Order_sp25	Family_sp25	Genus_sp25	Species_sp25
