#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	183679	91368	99121	0	0	91517	109723	0	0	0	0	0	109	100957	91484	0	107277	0	0	0	83906	0	97945	0	156724	12	0	0	0	8619	1	0	51607	99267	64408	95995	0	158193	110253	82858	0	0	0	0	0	0	25808	0	0	8768
sp2	0	0	0	0	0	0	0	0	0	37131	287942	229089	0	191399	0	0	0	0	72182	0	0	0	0	0	0	0	27881	108917	0	144858	155999	337671	1224	0	0	0	0	0	0	0	0	74182	0	0	0	0	0	0	0	0
sp3	0	0	0	0	0	0	0	0	0	0	0	0	189867	0	0	0	0	121760	0	71447	0	136506	0	160495	0	172960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307568	229871	158678
sp4	0	0	0	269	56234	0	33362	174531	163162	0	0	0	450	0	0	106554	0	0	0	0	0	0	0	0	0	90526	71071	0	81499	0	0	0	0	61703	125764	111732	22003	69548	57979	100208	154514	0	166520	0	0	148279	15840	0	0	0
sp5	50739	22659	65482	38550	0	6468	0	0	0	85547	0	0	14	4	84498	7	0	153045	46338	86409	12	99939	118578	66691	40351	5299	0	1839	40	0	0	0	76052	0	0	0	17526	0	10	0	0	59014	0	140417	65522	303	0	167124	171157	73881
sp6	0	0	0	0	154511	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	98359	144813	138128	0	73770	14312	933	0	198176	186883	93360	0	188298	69119	51388	0	12570	193836	0	147160	0	0	0	67583	0	122918	102288	0	134036	179719	183968	102715	18076	9631	0	0	0	0	0	0	90393	0	137243	0	0	0	0	0	0
sp8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	15072	0	0	0	0	0	0	1216	0	37137	0	68179	2488	0	0	0	0	0	0	0	232258	0	107683	0	0	79500	0	24430	109744	37798	0	0	0	62540	0	0	0	0	0	0	0	0	0	0	0	18142	67760	0	147616
sp10	0	0	0	0	0	0	0	0	0	0	67	127232	0	0	0	0	0	0	0	133495	0	0	0	0	0	0	0	0	0	0	0	90004	138279	0	0	0	0	0	0	0	44025	0	0	0	0	0	0	0	178427	0
sp11	138138	195208	274413	248676	128832	150513	170838	222045	116655	111720	498	0	308	103093	86270	139641	254901	27832	135970	52023	217816	0	266743	361	216369	2817	0	99608	55795	2025	100692	312	0	142907	153759	205330	208434	282245	300545	188624	70437	143897	238293	130117	149000	213278	96908	0	0	0
sp12	117121	24482	126281	118933	181333	142633	30048	116461	103985	128962	1225	63482	0	0	27958	187919	77976	25904	95293	0	176666	0	154582	0	147468	0	51	152309	586	19654	126558	113740	0	139161	116184	143270	119628	127577	152557	0	59781	91416	178358	21780	38818	50494	279	0	4	0
