	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129	sp130	sp131	sp132	sp133	sp134	sp135	sp136	sp137	sp138	sp139	sp140	sp141	sp142	sp143	sp144	sp145	sp146	sp147	sp148	sp149	sp150	sp151	sp152	sp153	sp154	sp155	sp156	sp157	sp158	sp159	sp160	sp161	sp162	sp163	sp164	sp165	sp166	sp167	sp168	sp169	sp170	sp171	sp172	sp173	sp174	sp175	sp176	sp177	sp178	sp179	sp180	sp181	sp182	sp183	sp184	sp185	sp186	sp187	sp188	sp189	sp190	sp191	sp192	sp193	sp194	sp195	sp196	sp197	sp198	sp199	sp200
sp1	-0.5	-0.0453745885301707	-0.201199275278524	-0.2982567447378	0.0660285104794125	-0.0108916869909666	-0.114711584449937	-0.403910038697047	0.135328938749654	-0.330069848727619	0	0	0	0	-0.0281907386187301	0	0	0	0	-0.0076661496426817	0	0	0	-0.129157010071769	0	0.117126788994339	0	0	0	0	-0.0797873893078277	0	0	0	0	0	0	-0.259531967681791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.287447677801973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.344876805145172	-0.5	-0.31453902525712	-0.37399118738041	-0.340043432530791	-0.19388960574487	0.490865016287384	0	-0.441814836270052	0	-0.478214915809666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182337982115641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.131685280270476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	-0.428291353943988	-0.084276923340417	-0.5	-0.00227744805085473	0.430552408709652	-0.0848388851809944	-0.251962127563809	-0.231125942330719	0	-0.146000625896936	-0.451814055378528	-0.426561086084889	-0.476363593687408	-0.298882473308947	0	0	0	0	-0.49523495657423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	-0.01089029608852	-0.157209114660919	-0.143176032360285	-0.5	-0.442185851115943	-0.22776560118061	-0.229850187817656	-0.20149714725852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.179476433739848	0	0	0	0	0	0	0	0	0	0	-0.279069340247365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	-0.16989091160286	-0.0879806381188217	-0.0278225182667491	-0.429494817850683	-0.5	-0.138808729642632	0	0.0342195555650955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.401992639744775	0	0	0	0	0	0.381032742190645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	-0.474536452173686	-0.0998550670629996	-0.470640973414206	-0.00286448699643137	0.385690217682142	-0.5	-0.0632841540164803	0	-0.464489152054214	-0.204486655283421	0	0	0	-0.454312359824986	0	0	0	-0.0264008460033708	0	0	0	0	0	-0.479323948173516	0	-0.336582504500805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.140981906916986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.276722216349833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0938707549204701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.497415397204489	0	0	0	0
sp7	-0.0697149700582656	0.0774437186853355	-0.210703585848624	-0.149615428156105	0	-0.39021481961566	-0.5	-0.294709159341089	-0.376514920149869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.112787217365112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.171212733764197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.288702651431563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.316954288590085	0	-0.249578783625951	-0.103717443671359	-0.385537331333621	-0.337555845762994	0.436825397253407	-0.5	-0.389513306418557	0.239689886317523	-0.272742040152787	-0.0672839243829437	0.324351896499044	-0.253133690352237	-0.321014690452376	-0.0295138973176456	-0.389149473090237	-0.313275788167599	-0.32929745317213	0	-0.079262982415373	-0.190932633754702	-0.00715138896369608	0	-0.349932584900088	-0.417264249778579	-0.324506120200034	-0.0393274317643931	-0.257604076542826	0	-0.0680365425349632	0	0	-0.235086776741717	0	-0.0444133709827787	0.144561657922284	-0.0683145672636945	-0.43100883274215	-0.114577956652173	-0.352412985610208	-0.0531551503688097	0.20218834754494	-0.177061047707589	-0.138592294139427	0	0	-0.350557239095718	0	-0.024880890091192	-0.196256708673176	-0.264191390297017	0	-0.039662325870241	-0.0315449543499458	-0.31300207432843	-0.24809610443484	-0.309242501103345	-0.149591098655351	0	-0.179180790719439	-0.181381410960059	0	0.435548437400209	-0.172757298801141	-0.0279483961022948	-0.493367546991159	-0.132188711869759	0	0.271036001679269	-0.106416595222712	-0.334813255401587	-0.133968737669026	-0.00219476642068475	0	-0.0704408525693673	-0.212586677076814	-0.256475226263786	-0.241569952554076	-0.339192157044262	-0.398845608874648	-0.431807254517775	-0.276502688801107	-0.300147376151993	-0.0620799086293601	-0.484412343240413	-0.152232595740359	-0.28965716172792	0.444224688843491	0	0	-0.256384286412268	-0.157098055850209	-0.0523524603107781	-0.0740991740799695	0	-0.174488749532667	-0.160320925361922	-0.346147400001537	0	-0.010275918017067	-0.00327398599895882	-0.122721950194305	-0.0954693021758785	-0.216181167596874	-0.0223451974000176	-0.0260092597009824	0	0	0	0	0	0	0	0	0	0	0	0	-0.277729752299087	0	0	0	0	0	0	0	0.463084203797898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.193597768847283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.270340081078787	0	0	0	0	0	0	0	0	0	0	-0.473011187596177	0.329288632792437	0	0	0	0	0	0	0
sp9	-0.410660607705091	0.312623208939496	0	0	0	-0.121026135575529	-0.0719158838924556	-0.295318393355184	-0.5	-0.0525972698513721	-0.252768253900583	-0.295152885859145	0.235007934877726	-0.162571169784181	-0.203123985316027	-0.172776786452669	-0.232279004067739	-0.39993990381917	0	0	0	0	0	0	0	0	0	-0.296457815098166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295368358161242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0261173788507795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360379759694261	0	-0.443535923916895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	-0.265775627834436	0	-0.00528762764742831	0	0	-0.346509690624867	0	-0.290348109165318	-0.445477896720795	-0.5	-0.410730520110414	-0.180499715244954	-0.342978450194511	0	-0.384828659086656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0537436888301559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
