	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25
sp1	-0.5	0	0	0	0	0.0343811251588026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	0	0	0.189634826429798	0	0	0	0	0	0	0	0	0	0.0947963683686848	0	0	0	0	0	0	0	0	0	0
sp3	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	-0.120611472026957	0	0	0	-0.5	0	0	0	0	0	-0.328364655528846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	0	0	0	-0.363359873656237	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.329661763211659
sp7	0	0	-0.0143990146790841	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.468214751893336	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0.0749509894899628	0	0	0	0	-0.452486090593825	0	-0.5	-0.217601023235489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.373300557284832	0	-0.24949781186983	0	0	0	0	0	0	0	0
sp11	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.373959681833496	0	0	0
sp13	0	0	0	0	0	0	0	0	0	-0.488342038572601	0	0	-0.5	0	0	0	0	0	-0.316100048646675	0	-0.436809095359859	0	0	0	0
sp14	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.158379307152	0	0	0	0	0	0	0	0	0
sp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
sp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444433039347883	0	-0.5	0	0	0	0	0	0	0	0	0
sp17	0	0	-0.392442357916359	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.322156671767847	0	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.187162661822557	-0.5	0	0	0	0	0	0	0
sp19	0	0	0	-0.28509107171688	0	0	0	0	0	0	0	0	-0.310820804255593	0	0	0	0	0	-0.5	0	0	0	0	0	0
sp20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.434620036559277	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.372904249155014	-0.5	0	0	0	0
sp22	0	0	0	0	-0.209224126524501	0	0	0	0	0	0	-0.413060372859815	0	0	0	0	0	0	0	0	0	-0.5	0	0	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.28645702953645	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
sp25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
