#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	115666	13504	156122	188043	93227	167337	148209	36790	104598	84752	148277	120036	6744	173578	2332	39233	19678	196957	37475	90220	88301	111791	184367	51928	58182	17113	95704	137230	84717	188490	78723	10358	142760	169046	40642	151668	28812	183116	5246	148270	71718	178291	2270	35270	177100	38655	11121	104930	72816	52327
sp2	41716	251853	180765	185046	127314	188327	109909	107683	30793	156070	153683	93358	157636	144076	197488	188387	93899	233303	171832	27636	51187	154324	65040	169641	156685	192730	32611	31555	139265	172872	148995	188552	27037	152188	146810	225894	117650	68654	195131	186572	87724	82960	151030	169439	73143	147214	183158	51978	225439	55257
sp3	127163	92151	23661	78892	109160	151087	118145	115745	116558	127963	126687	33947	81346	4291	39699	149884	173392	179135	58155	91447	74636	180925	70210	98383	105043	109728	137855	43802	50541	154972	61312	30330	161045	147203	5429	149991	174642	133996	130540	118822	138090	81825	76893	95404	91625	58573	133980	106716	11366	35810
sp4	137459	2962	187041	195425	141303	94577	119172	191197	91313	136266	22310	35573	170155	46057	139934	25651	26129	58167	161764	149213	163065	52750	160498	125424	24984	95479	77880	20809	173438	194675	190756	153786	159390	127368	87172	131231	10584	35748	36758	79306	133564	178823	72230	144445	107476	115919	70693	64492	134700	75116
sp5	31937	172944	0	64645	13184	0	27173	59047	0	32880	2161	125673	104050	22584	28509	0	0	78725	0	0	51812	26803	128426	23580	5976	0	0	0	32878	0	41648	24	0	0	13878	140995	22051	0	33631	0	14437	36751	151413	51471	0	54641	0	0	123895	0
sp6	17955	0	24876	0	0	48391	0	37507	62283	0	1	0	0	75273	12	0	127326	7	23949	70788	758	1	36659	105444	34347	0	170150	42653	0	0	483	0	13021	0	0	0	12080	180	0	125603	640	33663	0	46786	68050	0	67468	0	0	0
sp7	156085	29736	87124	50151	190595	25013	113591	93618	1426	76095	13734	125762	174937	182850	22041	101945	164950	194474	177320	92458	182836	163388	167946	146289	33280	6031	82241	154689	2496	1178	125286	141800	168928	36973	28082	97508	124646	55618	159153	193811	48568	186107	102696	121919	31720	176181	149872	69581	24570	53402
sp8	0	61218	93520	125479	64022	59637	577	0	0	23910	20915	51871	54835	0	112831	130205	154903	72952	76209	19668	176182	84609	193363	95421	147729	48690	57554	95017	136699	38298	0	0	4686	138453	3180	84680	175997	86317	37953	163	153735	0	82605	56233	143768	25561	77122	25296	142766	182480
sp9	32477	18167	124186	0	32460	36239	25647	17	157744	114108	57528	0	0	0	25555	0	0	0	8	0	0	0	0	0	72710	169347	105558	0	119754	66191	91878	0	0	0	56623	383	94349	66044	23	0	153140	1	0	43302	25549	0	0	67038	73346	60753
sp10	58606	0	24	85515	0	0	107333	16914	0	61641	233	54279	0	0	0	113258	85514	0	168602	8885	1	11988	53306	0	145268	49997	16902	48029	1	8172	0	89892	76318	147033	0	35281	0	43023	33487	20603	8740	35990	0	0	23315	37014	55001	1384	145252	88259
sp11	148922	14359	183475	13880	155720	167473	130670	115501	193621	34270	118616	59751	33622	47698	85263	32458	155814	102321	61482	193344	148857	139866	26131	192146	79831	153901	134786	162334	42272	75134	81144	130822	12206	36184	40441	26893	17227	93661	16158	4510	172913	95815	41130	10700	67716	20675	126975	88174	77832	196666
sp12	0	156941	704	101432	128487	188028	0	196313	17	18765	138910	67985	164064	0	133829	170046	168678	0	172643	196163	0	6907	73359	123873	0	16462	0	0	89670	94729	287	0	0	0	177308	72499	0	0	119054	29425	110370	74274	91288	0	120254	148960	92021	90286	145607	182403
sp13	0	0	57032	0	0	0	0	0	0	0	0	0	29696	30201	94264	0	0	0	0	0	39034	70723	143964	64790	0	0	99919	0	22429	62767	0	0	0	0	111383	50611	0	0	27227	37661	0	154107	132	3755	0	0	58777	24553	1040	0
sp14	71055	123386	65255	15971	45159	93743	40030	40998	70883	8087	22869	41242	635	120941	12500	60	41690	0	39796	50054	11130	36713	6086	104131	0	82049	100740	16489	17644	89791	75952	104802	159	0	105843	85779	1317	68441	47882	74070	0	75286	104318	57568	26034	74368	0	14	59972	584
sp15	68424	148227	8038	50758	161197	181957	118873	199305	118186	42432	129053	58199	168413	135027	181460	15266	108055	90829	20544	131057	150907	117543	34432	191865	62340	182551	28268	81208	43076	35424	169780	12522	96371	70719	130314	149596	59590	199786	98144	155836	18849	32659	76202	174101	178877	198499	31761	33234	33067	15454
sp16	142714	178175	173634	172000	42435	250995	173161	133945	246612	143808	30091	37568	118365	230035	182504	50897	109566	155324	39738	166764	28894	220090	88535	284250	164978	192355	127803	208481	154433	94369	72243	167044	180792	168998	167245	114197	18029	190045	64813	213650	160990	72032	158111	136607	67737	257618	143160	187319	117228	156058
sp17	9942	0	113769	0	0	0	0	0	0	0	0	1	68577	137290	61681	0	0	0	0	0	99642	513	76779	0	0	0	21141	49541	5	0	2018	132284	0	0	116980	0	0	0	53047	0	49247	53464	0	0	0	0	0	0	0	0
sp18	52475	57268	1	119341	3010	188228	191108	187366	73446	129525	130151	176115	77615	50112	19376	100452	175898	38527	162121	136962	56048	69619	202	91318	113565	185477	5918	61968	12487	75689	180053	969	114817	177512	58822	113083	73613	156249	6	64504	28920	75042	175381	105885	20897	4209	158580	52314	116551	151185
sp19	117121	183541	18614	11	46812	120949	44237	70304	114739	117665	82567	51408	38165	87943	7832	185147	52089	69845	34838	58024	74712	86014	0	33717	91028	15663	0	82987	57756	0	61	63924	88914	0	1883	2	170940	33209	14058	3	92829	0	64508	72711	102181	0	6	104235	69094	256
sp20	153168	0	293	1	0	0	188382	0	79425	1511	0	4	0	34790	161227	0	99912	168653	144066	17	79900	41221	128733	188682	0	81346	182946	198925	164782	152249	0	92284	76976	133421	107456	83738	0	152870	0	0	106386	146320	11873	0	173	0	2	11	172715	0
sp21	0	69512	105468	193288	127104	165748	0	32073	917	138286	182186	166366	56342	68101	37128	135068	79895	0	62641	112928	112775	1	0	0	65576	49994	0	0	2	0	191352	0	1	11859	99234	2422	129399	0	130250	144820	67277	0	18410	117281	145718	184985	35596	46721	0	182853
sp22	104969	0	129110	0	69165	0	120218	0	78827	26645	23966	5	0	105958	38339	0	0	159239	0	0	119619	172843	0	1	143716	26634	136844	148886	81681	72066	110035	44044	137155	190590	307	0	78906	160035	86757	17754	0	43220	0	151122	21435	0	107155	27338	0	0
sp23	95929	2562	102042	3	55232	129369	0	93836	117583	22499	29832	99332	0	37546	29327	68237	93471	139320	358	10	94496	67834	0	104915	35780	135201	0	69	61199	51624	92162	3	53515	81730	0	1	0	116871	31618	128707	7552	39545	43142	0	33472	173026	103152	83721	109538	0
sp24	64175	129884	32040	42086	128536	99623	140721	80438	98703	54677	37076	173010	122464	52610	119401	3647	161990	77364	137976	170036	165168	78424	140186	159719	163438	79225	72726	130102	177926	27245	35278	104971	138198	126077	156969	188246	195193	5723	70043	69600	161783	38354	181915	182376	79850	28781	18117	151998	117658	97419
sp25	53193	199062	100231	183292	175417	94473	94787	105662	98136	101373	84117	123780	183324	158907	98266	77973	31119	17296	150614	141351	16902	105914	33060	40857	94598	170789	14148	127233	69830	182446	164924	174668	5347	86515	88097	116205	168789	38878	153415	11898	176047	188425	45064	58529	148369	162870	94627	157738	197031	155124
