sample-id	md
sample1	8
sample2	4
sample3	3
sample4	6
sample5	7
sample6	5
sample7	6
sample8	1
sample9	4
sample10	8
sample11	5
sample12	9
sample13	1
sample14	3
sample15	2
sample16	6
sample17	7
sample18	2
sample19	1
sample20	4
sample21	2
sample22	4
sample23	3
sample24	5
sample25	4
sample26	5
sample27	6
sample28	3
sample29	2
sample30	2
sample31	2
sample32	2
sample33	2
sample34	9
sample35	9
sample36	5
sample37	2
sample38	6
sample39	4
sample40	3
sample41	8
sample42	2
sample43	8
sample44	2
sample45	1
sample46	9
sample47	3
sample48	4
sample49	5
sample50	9
sample51	3
sample52	6
sample53	4
sample54	5
sample55	5
sample56	7
sample57	8
sample58	4
sample59	3
sample60	9
sample61	8
sample62	7
sample63	7
sample64	8
sample65	1
sample66	5
sample67	4
sample68	1
sample69	8
sample70	2
sample71	4
sample72	9
sample73	7
sample74	8
sample75	3
sample76	3
sample77	3
sample78	7
sample79	3
sample80	6
sample81	1
sample82	2
sample83	5
sample84	2
sample85	7
sample86	4
sample87	3
sample88	8
sample89	4
sample90	3
sample91	1
sample92	4
sample93	8
sample94	7
sample95	5
sample96	3
sample97	9
sample98	3
sample99	1
sample100	5
sample101	3
sample102	5
sample103	1
sample104	2
sample105	8
sample106	5
sample107	4
sample108	3
sample109	6
sample110	8
sample111	5
sample112	6
sample113	9
sample114	8
sample115	5
sample116	7
sample117	7
sample118	5
sample119	3
sample120	3
sample121	2
sample122	4
sample123	1
sample124	7
sample125	6
sample126	4
sample127	5
sample128	1
sample129	9
sample130	7
sample131	4
sample132	2
sample133	4
sample134	8
sample135	8
sample136	2
sample137	5
sample138	3
sample139	8
sample140	4
sample141	9
sample142	5
sample143	6
sample144	1
sample145	2
sample146	7
sample147	3
sample148	3
sample149	8
sample150	3
sample151	9
sample152	2
sample153	9
sample154	2
sample155	1
sample156	1
sample157	3
sample158	3
sample159	4
sample160	3
sample161	3
sample162	4
sample163	4
sample164	3
sample165	5
sample166	1
sample167	2
sample168	4
sample169	6
sample170	1
sample171	2
sample172	1
sample173	4
sample174	8
sample175	5
sample176	1
sample177	1
sample178	8
sample179	1
sample180	8
sample181	4
sample182	5
sample183	4
sample184	6
sample185	9
sample186	4
sample187	3
sample188	8
sample189	8
sample190	5
sample191	9
sample192	5
sample193	7
sample194	9
sample195	5
sample196	4
sample197	2
sample198	1
sample199	8
sample200	2
sample201	5
sample202	6
sample203	3
sample204	1
sample205	7
sample206	9
sample207	7
sample208	5
sample209	1
sample210	8
sample211	4
sample212	1
sample213	4
sample214	4
sample215	3
sample216	3
sample217	3
sample218	1
sample219	5
sample220	7
sample221	2
sample222	7
sample223	5
sample224	5
sample225	5
sample226	7
sample227	2
sample228	5
sample229	7
sample230	2
sample231	2
sample232	7
sample233	8
sample234	3
sample235	1
sample236	9
sample237	7
sample238	8
sample239	7
sample240	8
sample241	9
sample242	1
sample243	6
sample244	4
sample245	8
sample246	9
sample247	7
sample248	9
sample249	8
sample250	9
sample251	6
sample252	7
sample253	5
sample254	2
sample255	6
sample256	9
sample257	1
sample258	6
sample259	6
sample260	3
sample261	4
sample262	2
sample263	5
sample264	7
sample265	3
sample266	6
sample267	4
sample268	8
sample269	4
sample270	6
sample271	7
sample272	4
sample273	5
sample274	9
sample275	7
sample276	7
sample277	3
sample278	8
sample279	1
sample280	7
sample281	5
sample282	3
sample283	7
sample284	9
sample285	6
sample286	8
sample287	3
sample288	2
sample289	3
