#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	5	0	0	0	10	0	0	0	0	0	0	0	44274	5277	0	0	0	0	1252	0	20841	0	21982	0	0	0	0	0	77651	0	0	0	0	0	49456	0	0	52898	5473	0	55932	0	0	14320	0	62029	116255	1	0	0	0	57295	57029	0	0	0	0	0	0	26700	42457	0	0	0	0	0	0	0	106438	0	0	87216	28726	54719	0	0	4065	0	0	85127	0	0	6	55805	0	0	0	0	0	0	88408	0	0	0	0	6622	0	65573	0	0
sp3	0	2584	0	0	79027	0	76439	0	0	65224	64387	30893	0	119309	0	108123	0	0	0	0	0	0	0	0	0	99787	0	0	0	0	0	0	0	64551	0	0	21021	21	0	0	55789	0	25060	0	0	0	0	1	0	0	0	0	0	143181	39924	61	0	46552	45555	0	5	83297	767	0	94318	0	0	5592	2875	0	109612	0	0	13942	0	30291	41561	0	0	0	571	0	0	2242	0	12051	0	87780	0	0	0	14714	47260	125318	7471	0	70279	4192	41108	0
sp4	0	0	428	0	82488	0	52898	37524	8362	0	1	0	204702	722	0	0	73909	0	151879	0	0	76299	0	8745	42642	184719	0	0	144579	26475	0	0	0	0	25297	0	0	100848	0	0	113495	0	0	0	17336	0	121752	125987	0	0	0	122423	114776	121795	0	114276	0	0	0	53893	2	31452	0	0	0	0	33913	112636	192585	0	0	74412	0	79847	44967	126008	0	0	0	9254	7	32300	6879	86493	0	0	0	0	14755	0	0	0	48267	0	0	0	0	173	0	0
sp5	122287	0	0	148968	85002	130180	57018	9437	100666	89504	0	106087	0	89428	78429	154556	125561	1	0	1	24608	42186	118792	61324	1601	0	192637	0	0	0	68095	201131	193477	0	13	265	0	0	50493	162782	0	0	0	130167	0	0	4614	7980	12195	0	0	7102	0	8	65261	0	0	88649	2642	0	0	133918	14801	209658	140613	217858	2107	0	0	43251	0	82074	0	0	0	8	100814	0	167401	0	0	91064	0	0	0	150490	0	148180	11223	114978	0	156451	0	183722	180108	56880	10697	0	11139	880
sp6	76823	118723	236611	70799	0	23979	0	122764	4642	0	113329	0	0	0	0	0	5	25066	57156	75354	129884	0	6272	2	128374	0	9	263749	170638	66245	87262	0	0	110298	55429	193131	202277	0	15396	0	755	317259	148500	88454	58185	0	0	0	42521	329195	192065	0	5029	0	62663	0	252658	498	29567	108320	139355	39464	68342	0	1	2154	139903	74766	0	77172	54079	0	152156	119425	164171	0	17	145409	43410	103145	261775	92939	184694	0	135331	0	212789	50900	55079	13	38448	0	154553	3226	3964	1145	112429	208378	103676	49531
sp7	153028	131638	71264	98791	54169	179358	131067	104612	147986	143024	18868	169528	58351	58702	119826	28565	139289	203685	54133	187017	167089	194713	143706	123581	98948	69446	161075	171181	26788	78338	94326	169616	125144	65338	170620	138833	93105	100640	141050	220048	12439	117472	83327	96973	199021	188696	98375	68038	151695	95780	11853	65703	104336	29380	143910	107393	164817	161759	145609	166196	67343	84066	154783	212332	141247	197940	27430	79115	71080	140789	89619	124381	73626	54933	133340	149532	157205	130331	171290	81131	115032	64364	163709	96724	178897	113079	187456	83307	154559	241828	91444	166765	79331	80028	160926	141142	28261	17093	125585	244778
sp8	30690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67324	1	0	0	0	0	34200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	71748	0	0	0	73024	0	14426	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106832	0	0	0	0	0	0	0	43112	0	70	0	0	82272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45601
sp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
