#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	0	0	0	39451	36608	52460	0	0	75004	26588	133151	368	0	0	0	0	0	111154	0	9	0	12	170932	0	0	99562	0	0	0	0	0	0	0	0	35874	9859	0	0	0	0	127846	0	90138	0	232	0	69222	0	62385	0	0	0	0	0	0	40882	0	0	0	0	0	0	0	0	0	0	0	127885	0	154583	0	0	87523	0	6	175897	114403	0	0	121350	1	74158	0	88161	0	0	0	0	109514	0	101324	0	0	15912	0	1	0	30140	12350	55162
sp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	91008	0	80379	29545	0	7	125948	0	3075	100853	0	21198	3	123962	120216	202663	0	43031	0	597	157138	0	12	8794	160633	106757	15934	54782	0	0	8	157708	69406	82	102308	76474	75	87	64908	16860	11	163965	88719	1	50477	237165	31675	87430	101443	12	72921	0	43413	68482	0	137910	48542	66381	0	0	64546	0	0	15491	0	0	0	0	175072	0	37891	84715	50728	96659	2	45537	8595	102202	79533	328	91026	15	122896	0	84971	0	22289	3558	117321	0	33	54543	143074	38623	112731	36164	155574	61026	93041	52694
sp4	0	0	125641	0	0	0	732	82344	0	0	104168	0	0	51276	31284	84649	76457	2249	0	0	135799	15701	0	91574	59169	0	105570	66837	9325	74585	51432	56013	0	102439	0	0	17967	20941	107864	113655	0	43952	0	28406	111967	2414	0	1	15968	126548	6767	76400	28118	115207	36698	29408	0	104579	108178	2609	65845	107125	115426	0	109204	35069	118910	0	19965	50205	73671	95336	56174	37568	101176	51857	9157	114794	116065	28	160	0	0	0	116999	41908	102158	14418	10645	103376	0	7695	0	71575	35423	65506	0	42186	0	278
sp5	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	5129	0	0	0	127191	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170687	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131994	88275	0	4	0	0	0	0	0	0	131563	0	0	0	0	0	0	0	0	0
sp6	0	0	0	0	0	0	0	0	0	0	0	0	51603	0	0	0	312	0	0	0	0	0	0	0	0	0	77457	0	0	0	61386	0	0	0	0	0	52361	30333	0	111507	0	0	0	0	56848	0	0	0	0	0	0	110747	0	0	0	0	0	0	0	0	0	0	13988	1262	101929	0	0	0	0	0	0	0	54262	0	77526	0	0	86821	98827	0	0	0	0	0	0	43339	97	0	0	26930	0	0	0	0	0	0	0	11600	0	0
sp7	57218	116511	1138	134420	73672	47389	0	77748	514	2	78066	37614	10686	9083	88383	0	35096	1705	31390	82911	0	102323	60859	0	0	0	0	16123	89999	81049	0	0	0	44498	8258	0	1	0	0	0	6125	0	78883	10838	0	614	106900	0	0	28222	34650	32984	425	0	36	1805	0	0	63884	119002	39085	93196	51905	29358	114061	46442	158076	136333	0	0	1	20679	20440	6238	12	0	49777	0	0	61813	0	87931	0	1013	22	1709	91864	59855	0	0	0	0	0	537	0	0	0	0	331	24524
sp8	139457	62770	202969	0	0	143032	97670	2	123099	0	673	89517	88535	177003	202615	56136	66349	0	0	124516	98051	51586	3	151924	53525	34320	253130	0	0	194950	0	193460	162682	89863	1746	57333	73002	3441	5	151774	0	743	0	147255	177481	46072	111777	138306	49375	1023	134908	50262	186103	264550	0	49686	189165	179565	162144	0	235620	237388	123176	43879	103389	69723	86164	169869	74105	0	177170	259376	18043	10626	50332	0	0	40668	0	0	86173	126	63447	0	64206	458	192455	0	0	179692	0	132644	169810	111648	151172	62338	19945	0	87071	56985
sp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109956	0	0	0	0	136924	0	0	0	151089	0	0	0	0	0	0	63275	0	0	0	0	0	0	101311	35086	0	0	0	0	165246	60475	0	0	0	0	0	0	0	0	0	0	0	47327	0	0	0	0	0	32206	65	0	0	0	0	0	0	0	0	85894	0	0	0	213077	0	30987	0	0	0	0	5	0	0	0	0	0	0	0	0	0	140183	0	0	0	0	0
sp10	0	13702	0	0	85854	0	27393	92507	0	0	128203	0	0	0	276	0	0	0	1	0	0	0	0	0	0	0	88261	0	0	0	59879	0	0	6975	0	0	23041	0	0	0	0	0	67594	0	0	0	1	0	32267	0	15627	82559	0	0	0	0	120585	0	4	74475	11	0	0	0	0	32382	0	58876	0	0	0	7092	0	0	16837	0	0	0	0	0	0	0	0	141331	0	162189	30321	0	0	0	1	0	0	0	0	78	0	19392	35922	0
