	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50
sp1	-0.5	0	-0.380079077518273	0	0	0.269035915392591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	-0.0732601758569758	-0.0696133475683979	0.429005676062768	0.0346936468991428	0	-0.463659393646929	0	-0.317613610808011	0	0	0	-0.0616703241796955	0	-0.314433308056619	0	0	0	-0.291694144996481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39574769159877	0	0	0	0	0	0	0
sp3	0	0	-0.5	0	0.0365118038908509	0	0	0	0	0	0	0	0	-0.0243747401320981	0	0	0	0	0	0	0	0	0	-0.112413806856228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0	-0.5	0.31205129367156	0	0	0	0	0	0	0	0.0587507339151157	0	0	0	0	0	0	0	0	0	0	-0.494560030824305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0526881701224716	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	0	0	-0.5	0	0	0	0	0	0	-0.148379332756023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	0	0	0	-0.278662510012714	-0.5	0	-0.212617569360079	0	0	0	0	0	0	0	0.0615622959484463	-0.0223085860956204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0	0	-0.0331414657749236	0	0	-0.5	0	0	0	0.145565303698534	0	-0.231028120841503	-0.496466853772528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.29744816744186	-0.0275395592568745	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.467671867115658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.47717483800503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	-0.22679310647371	0	-0.5	-0.156111043511713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	0	-0.151616886369912	-0.455718427392235	0	0	0	0	0	0	0.49453781026134	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	-0.017138830220378	0	0	0	0	0	0	-0.5	-0.28605129870611	0	-0.440803661949099	0	0.446816137887151	0	0	0	0	-0.372212935482338	0	0	0	0	0	-0.321802040071774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	-0.136559717917561	0	0	-0.41080941075145	0	0	0	-0.436016324154527	0	-0.5	0	0	0	0	0	0	0	0	0	-0.327278871654693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.364829864762358	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.396832809008535	0	0	0	0	0	0	0	0	0	-0.0580256915565883	0	0	0	0	0	-0.40153838541765	0	0	0	0	0	0	0.319066210744204	-0.159184387401615	0	0	0	0	0	0	0	0	0	-0.458169827530235
sp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.468471232535008	0	0	-0.0183740861663641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp16	0	0	0	0	0	-0.253978899208435	0	0	0	0	0	0	0	-0.471173518622625	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp17	0	0	0	0	0	0	0	0	0	0	0	-0.435906859969003	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0872181682843994	0	0	0	0	0	0	0	0
sp18	0	0	-0.331411060986395	0	0	0	0	0	0	0	0	0	0	-0.371395389496551	-0.457022435804477	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp19	0	0	0	0	0	0	0	0	0	0	0	0	-0.390494457479243	0	0	0	0	-0.0581568787559425	-0.5	0	0	0	0	0.498059117287372	-0.458016753640382	0	-0.102999475497622	0	0	0	0	0	-0.316275907004033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp20	0	-0.0115469220651034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.00451228521342156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp22	0	0	0	0	0	0	0	0	0	0	0	0.191271394750956	-0.224625098983985	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.067921920555348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	-0.160493385973237	0	0	0	0	0	0	0	-0.0953679515103507	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13628488709572	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp25	0	0	0	0	0	-0.0852875831159391	0	0	0	0	0	0	0	0	0	0	0	0	-0.355850617537582	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp26	0	0	0	0	0	0	0.126663495205103	0	0	0	0	0	0	0	0	0	0	0	0.183489582287527	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.479881226020886	0	0	-0.5	0	0	0	0	0	0	0.196232680682074	0	-0.125207523366553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0560990524393693	0	0	0	0	-0.436600303184569	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.183752833858142	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.107929220957928	0	0	0	0	0	0	0	-0.0477114254771173	0	-0.5	-0.112677404988324	0	0	-0.115800435340817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18616182078456	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0278719895981275	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0833810559731326	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.237781673630984	0	0	0	0	-0.064827577041958	-0.358896897734751	0	-0.336668143719488	0	0	-0.248108531289073	0	0	0	0
sp35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp36	0	0	0	0	0	0	0	0	0	0.142872123784509	0	0	0	0	0	0	0	0	-0.165468214460718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.318615710503294	0	0	0	0
sp37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0578692702111066	-0.235240750154771	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
sp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0493450644981186	-0.5	0	0	0	0	0	0	0	-0.419891745407204	0	0	0	0
sp39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0355480874221399	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
sp40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
sp41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.428088360183493	0	0	0	0	0	0	0	0	0	0	-0.446733440191988	-0.101931713984648	0	-0.5	0	0	0	0	0	0	0	0	0
sp42	0	0	0	0	0	0	0	0	0	0	0	0	-0.304577686471085	0	0	0	-0.0327606667661667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
sp43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102064945163343	0	0	0	-0.282274339782507	-0.5	0	-0.164752087242061	0	-0.028267707630482	0	0	0
sp44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.0932580439994973	-0.0363634288950684	0
sp45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
