#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	112549	63667	14148	181618	49	0	24036	128319	55791	27254	210080	72628	0	121377	184596	34202	49053	33364	127816	358	76426	253181	68299	14302	0	31153	154784	151887	93641	73	0	0	115630	7	143	18601	46468	78169	73073	70073	37291	94891	0	70979	110658	122200	204453	43	36833	23327
sp2	44	171738	0	0	11114	3295	41167	71672	0	21703	0	0	0	0	34517	0	65071	0	81160	0	4	122186	35719	106454	0	48279	0	0	29734	0	205	0	54094	0	0	0	76719	13043	0	15656	1	54194	1999	0	0	11892	0	0	0	25722
sp3	46810	13895	2291	21015	179147	105084	69519	85212	75250	155106	45840	61037	141287	144731	55	185066	36092	36027	96802	171484	194123	1	124	125805	177756	137395	127635	1	13422	121960	163476	176077	49802	179678	162409	12903	185134	135199	158101	78416	105	92000	142232	111781	115533	56667	2272	121568	3151	198531
sp4	0	118802	73824	1	45176	129466	99002	183819	163252	4893	58195	16	225090	38502	1	72483	0	127798	8347	5	209184	85851	75535	110634	234410	123606	132801	114	148216	107754	0	77696	1	191863	92303	62263	72597	199564	100792	131357	0	219781	182345	236951	190029	185361	23654	86749	55451	107420
sp5	12156	198464	153633	9214	72249	180287	124389	176911	194105	108893	67319	56999	164375	39089	81154	41930	23055	90940	59351	90226	168915	68812	81000	129936	84642	119128	139545	109942	190779	74406	176094	68595	196348	129930	183890	110718	152876	121760	86308	118239	121	123250	150478	149580	68886	108096	110721	85061	57085	130211
sp6	124169	10090	0	140575	13561	25580	3133	0	0	0	147331	41	0	95315	71772	141575	91361	89240	96760	98729	53064	124783	50249	77154	45045	404	117775	61530	32832	72333	84124	886	0	0	0	11	42978	104913	25209	5211	15166	80940	0	87355	49380	48966	64590	2510	18380	75392
sp7	178253	142619	199106	169010	45012	215074	108263	76203	100829	92284	194243	172798	15610	239364	198089	16838	47175	58313	153170	78738	2	188218	105659	9328	48717	121408	36855	113393	17414	186150	109785	124987	30267	22434	162697	0	148130	117375	113843	22093	20850	27814	87898	87355	52896	110810	176757	158448	185666	0
sp8	0	14927	0	30	1	18	0	52289	0	0	0	0	13435	0	0	6	0	0	383	0	0	0	50481	0	0	0	0	0	0	0	0	109436	54296	49304	112809	100746	12332	0	9952	0	85	0	0	0	11672	0	0	80055	0	0
sp9	181249	131961	27088	60286	144904	179152	101993	187255	146176	99485	34195	190267	169215	175710	86043	38609	176280	193840	14544	62076	40130	74809	181312	182555	44914	144608	119346	125430	45099	42209	148929	124967	123738	115107	85914	135839	45674	14334	47251	108412	42145	71122	63516	159891	50683	136915	12979	98781	139553	126283
sp10	18836	90771	113875	49443	63559	6	76677	70323	82478	120119	54494	108776	94197	140321	47229	39692	40957	31680	18082	97851	35971	241	15019	117543	70835	74566	20460	85041	33910	60317	143510	22491	89571	82475	62359	0	23477	79944	145084	57704	27843	225	56845	42134	0	129749	134964	90955	93753	178592
