#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	55253	0	0	0	0	0	0	0	0	0	40209	0	0	62640	0	0	0	0	0	68	125422	0	0	0	39	0	0	282	0	0	0	31142	0	75290	66271	0	2	0	0	82808	0	114957	0	0	0	56129	0	0	0	8
sp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53038	0	0	8958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8
sp3	21502	0	0	0	0	0	52445	90358	56785	0	171902	38547	0	44954	27575	0	9739	0	0	0	43617	433	17324	25	103531	0	49213	0	0	0	0	13	0	0	0	137191	25252	0	22132	4770	0	59608	84767	122013	0	131307	38164	557	29905	0
sp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	0	31909	0	0	0	0	51800	0	5364	495	0	0	0	69379	43246	0	0	0	192589	0	30396	0	0	0	9035	102914	0	375	0	0	0	76136	87752	0	0	0	0	0	0	83108	148568	0	0	171941	0	2020	120424	0
sp6	186605	219261	241555	130731	254917	204459	184305	215493	91908	252711	49215	148208	262557	127041	69693	97175	141320	181085	105335	57681	104	132027	131867	295174	96394	59915	0	33	320469	141164	297349	163289	149334	84776	0	147450	101602	298452	213050	0	163793	0	25942	114743	194682	820	239571	189358	0	169710
sp7	64419	93889	786	0	24091	0	0	0	83859	23718	27763	52640	44760	55761	60038	89509	23584	184872	107565	19768	0	82798	0	2400	71309	209848	0	75982	10338	28471	39570	31605	6	28707	52612	24770	0	0	1	299725	51841	0	4	41704	0	0	0	0	144155	41558
sp8	10	0	65386	95429	41871	12607	0	0	55281	0	879	29490	143765	0	0	312	0	0	6370	30254	0	0	41956	124687	34500	20323	0	0	44760	41056	116784	0	137113	76471	0	0	40748	108091	19690	0	41376	73335	39973	30688	0	0	48523	170667	0	47847
sp9	58364	159374	69349	116180	143194	198265	9818	32072	34969	108144	1	98134	142430	0	44107	179838	32599	199226	114857	68107	0	60266	129760	140714	46328	103180	34025	73311	168367	76185	171794	63473	169691	108830	53258	15897	99149	186112	90292	65054	156070	4884	53089	39692	150228	0	145183	89749	9475	132091
sp10	70326	0	0	65759	0	0	115831	83251	71815	60989	29919	0	0	46688	145011	0	40192	0	269	116441	177510	44747	0	0	100919	2	92746	98830	0	45085	0	0	21532	0	61523	16834	0	0	0	76572	0	164703	133780	109488	1013	109426	0	1	64646	0
