	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100
sp1	-0.5	0	0	0	0	-0.15462056127406	0	0	-0.149317511240693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17566740652892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.354652567882803	0	0	0	0	0	0	0	0	0	-0.331693245384211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	-0.444137742888955	-0.0478537077660579	0	-0.0355476967401337	0	0	-0.138241987418889	-0.460380033682394	0	-0.24590974222484	-0.416293645967932	0	-0.127629791618576	-0.127092835871072	0	-0.382945949227433	0	0	0	0	0	0	0	0	0	0.217287582414565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.112641494373735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.165671232202291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	0	-0.5	-0.0631936356964125	0	0	0.0829630746542453	-0.212264209941612	-0.439567979116666	0	-0.428854860235751	0	0	-0.318361730412722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.298589968899256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	-0.476660724931527	-0.254256461195517	-0.5	-0.311436600702959	-0.470634360806935	-0.0785727362498478	0	-0.332484819980382	0	0	0	0	0	-0.179611702611581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.249590587787081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.350127048964135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	0	-0.0230854196636612	-0.5	-0.41227991046594	-0.256384508877499	-0.0147031233687955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	-0.175191158644168	0	-0.445355134096956	0	-0.5	-0.401909365106816	0	0.395724013312301	0	0	0	-0.329782274408203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	-0.141094078635913	-0.407852334920892	-0.239497679617833	0	0	-0.5	-0.201894228603442	0	0	-0.133312437648824	-0.0644239311683318	0	0	0	-0.30645448033839	0	0	-0.156232450273416	0	0	0	0	0	0	0	0	0	0.309252279329149	0	0	0	0	0	0	-0.0563493214001204	0	0	0	-0.184932353009025	0	-0.459180272640197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	-0.380259701474346	-0.0490605325158755	0	0	0	-0.264300553554953	-0.5	0	-0.407796552608309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472130654614051	0	0	0	0	0	-0.24444858383819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	-0.482214451836774	0	0	-0.126961780101988	0	0	0	0	-0.5	0	-0.378975987339264	0	0	0	0	0	0	0	-0.184841020962133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	-0.468939911363334	0	0	0	0	0	0	-0.437777997678192	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.165810107315737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
