#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	155682	187612	60613	0	196893	56721	41756	97982	134993	124155	95223	106509	103882	121985	121494	47694	88034	57048	130785	49031	28859	162076	179712	167136	55450	115992	86457	162042	27989	91280	42580	146096	22357	112315	39382	77492	74140	187612	157012	28132	142117	137722	182018	171622	182926	86656	70417	115638	178114	169864	26427	17531	167098	82111	193318	31208	134387	188707	119049	42564	60214	95777	93328	51505	27215	119397	6305	118013	99019	132339	175311	91225	147931	168075	150368	102697	147228	9389	193162	85099	165410	35701	179458	190063	72835	47340	54627	163865	88250	180635	3284	84003	38441	126680	170092	37550	193356	78175	5651	192058
sp2	0	0	0	0	0	0	0	10144	0	115	0	0	49089	0	0	0	29676	0	7733	2	0	0	0	0	0	0	0	0	0	0	43220	0	0	1	32228	0	0	0	0	0	0	0	0	0	0	75083	0	0	0	0	0	0	0	99255	0	22442	0	0	29047	69502	0	0	0	0	0	0	148936	0	0	0	0	835	129	98	0	0	0	53	0	0	0	132458	0	0	113	0	0	0	54797	3	97863	0	2708	29425	0	5891	0	0	29868	0
sp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0	198773	0	0	155290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	84517	0	0	0	0	0	22111	0	0	0	668	50	8943	14040	32479	76502	0	61508	76368	0	0	0	38070	30390	0	0	2	0	26993	0	13173	0	116231	0	0	0	0	0	0	0	0	0	0	0	0	18490	0	0	0	0	0	21641	2360	0	0	0	18886	3	97504	21040	30613	81810	64547	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	22928	0	4545	0	5	0	84440	0	0	43	0	32802	0	0	41565	0
sp6	0	72	0	204476	0	0	150698	0	266936	0	160101	0	181320	107439	168424	0	152048	1	1	0	0	0	0	0	0	27	0	248767	0	1	0	0	0	74883	0	0	0	0	0	0	0	127738	0	151555	0	0	0	142281	0	0	0	0	39145	0	0	193074	0	0	145924	0	0	0	113802	153660	0	0	22	37845	0	0	0	142515	0	118973	0	0	264576	141605	46156	0	0	0	0	0	0	0	0	0	7696	139068	0	0	0	0	0	0	0	151706	57969	0
sp7	26224	98648	51523	0	302	80439	0	26287	0	107951	0	119500	0	0	1196	2986	0	24302	149068	163656	158395	15722	67765	162667	155629	55062	0	0	44855	108628	147054	0	0	0	129401	82694	149802	163616	0	49499	132718	0	0	0	87960	83017	151450	793	160306	142411	40420	129666	0	73831	0	0	5376	0	0	116538	49384	133449	47022	0	76638	33303	29225	84352	180516	152036	105822	0	70959	13645	103023	22919	0	0	1	80440	90896	39939	69748	67168	2399	93373	147667	111316	1276	0	71963	139625	69974	73214	168766	53213	183605	0	6	77298
sp8	0	0	0	4589	2718	0	0	0	0	41211	0	0	96923	118479	0	161493	0	0	0	134368	91039	144256	0	1	0	0	136677	0	0	47763	0	0	141562	0	0	0	24	0	138164	89234	0	0	71771	543	0	0	1	115225	11598	0	123649	0	0	0	0	0	0	0	46887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140721	0	4904	0	0	0	0	164650	0	0	0	0	0	0	113045	0	0	0	0	156597	0	0	0	0	0	0
sp9	76013	3648	0	0	15831	47918	0	45321	65393	171923	183115	8051	44374	133854	24554	0	165183	116075	64940	0	149262	42	1915	130738	76183	41587	0	80075	3237	39015	538	166960	47410	622	96852	169929	111868	166379	0	21906	99739	99050	0	149308	162200	52242	10844	0	184800	105831	110682	34107	92598	159771	87269	121398	46287	172440	0	135367	26	49268	176762	156227	0	95672	182332	35584	93068	0	76533	583	0	56869	9599	178199	0	886	39268	133817	141562	63159	160348	0	145669	161178	99552	5194	54117	193424	182336	84350	166307	0	0	95064	137036	138505	156773	149423
sp10	0	0	144854	0	0	0	0	0	0	0	0	0	0	0	0	29428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	93592	0	0	0	0	116371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100094	0	0	0	0	0
sp11	87178	187837	71246	76137	170439	137181	85042	134055	132553	605	99367	175479	66293	119503	101220	128233	148221	40671	155007	49702	3168	0	106699	128187	154730	155951	152219	17274	136858	74203	145582	67100	92056	107724	56122	96354	50076	120771	1	167146	12483	147405	133148	53529	92031	47713	121206	153814	5285	56568	67275	156148	70236	22192	103875	25119	38305	47388	22	136253	174678	85317	28822	72643	181258	87438	10537	193946	29129	155638	162151	103322	50737	43749	84871	78354	147782	20379	111453	175328	2360	45159	17292	185556	102506	170859	196854	140024	55670	112527	37999	181294	197302	53090	188301	35208	66283	188173	166063	150127
